stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,3.61,0,0,0,4.54,0,0,0,0,0,0,0,0,0,4.23,0,0,0,24.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.54,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0
 14-21,4.07,0,11.87,4.22,0,1.08,0,3.3,1.08,0,0,0,0,0,0,1.13,0,0,2,41.55,0,0.85,0,0,0,0,0,0,2.82,21.77,0,0,0,0,0
 24-34,0.81,0,0.67,0,0,3,0,1.74,0,0,0,0.79,0,0,0,0,1.44,0,2.64,139.16,0,1.4,0.73,0,0,1.71,0,0,0,73.71,0,0,0.7,0,0
 36-46,1.4,0.56,0,0,0,6.71,0,4.63,1.6,0,0,0,12.53,0,0.6,0,2.79,0,0.61,191.92,0,0.73,0,0,0,0,0,0,0,148.18,0,0,0,0,1.73
 48-58,1.21,0,0,0.44,0,23.59,0.44,8.38,0,0,0.69,0,1.99,0,0,0,9.69,0,4.47,281.95,0,0,0,0,0,0,0,0.61,0,114.36,0,0,0,0,0
 60-70,1.52,0,6.77,0,0,33.48,0,13.72,0,0,1.76,1.08,0.7,0,0,0,14.72,0,0,298.06,0,0,0,0,0,1.23,0,0,0,80.2,0,0,0,0,0.97
 72-82,5.88,0,0.57,0,0,70.89,4.69,20,2.35,0,2.17,0,8.36,0,0,0,42.48,0,2.11,570.16,0,0,0,0,2.81,0,0,0,0,123.46,0,0,1.88,1.31,0
 84-94,4.62,0,2.02,0,0,67.47,0,17.76,1.25,0,0.7,0,1.96,0,0.83,0,26.66,2.5,2.3,338.56,0,0,0.69,0,0,0,0,0,0,100.99,0,0,2.36,1.29,0
 96-106,2.08,0,2.4,0,0,38.49,2.16,29.84,3.46,0,0,0.59,2.55,0,7.43,0,48.04,1.9,2.7,556.86,0,0,1.29,0,0,2.5,0,0,0,40.37,2.05,3.27,1.91,0.91,9.61
108-118,2.78,0,4.94,5.05,2.51,69.06,1.25,41.5,1.87,0,0,0,7.66,0,0.48,0,33.05,5.16,2.63,621.4,0.67,0,2.08,0,0,0,0,0,0,78.39,3.86,0,1.41,1.45,5.19
120,4.16,0,17.95,0,13,72.14,0,42.69,0,0,0,1.77,0,1.11,0,9.24,25.91,0,0,615.06,0,2.34,0,0,0,0,0,2.11,0,22.29,0,0,1.14,0,0
