stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,44.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.47,3.27,0,0,18.67,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.39,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0,0,25.06,0.85,0.92,0,0,2.38,2.25,0.83,7.69,10.63,0,0,0,0
 24-34,0,0,0,5.22,0,1.5,0.78,0.69,1.57,0,0,0,0,0.69,0,0,1.48,0,7.91,0,4.29,81.73,0,6.78,0,0,6.43,0,1.25,2.73,18.99,0,0,0,0.63
 36-46,0,0.73,0,0,2.17,8.41,0,1.09,9.22,0,0,0,0,0,0,0,0,0,13.12,0,0.77,44.96,0,11.47,0,0,21.54,0,0,1.34,5.11,0,0,0,4.09
 48-58,0,0,0,3.39,0.4,16.09,0,0,13.66,0,0.4,0,0.4,0,0,0,0,4.55,6.74,0,0.48,46.56,2.54,10.89,0,0,3.43,0,0,0,12.95,0,0,0.52,0
 60-70,0,0,0,3.26,1.88,27.68,0.81,0,6.69,0.63,0,0.87,0,0,0,0,0,1.05,0.82,0,0,33.98,0,1.62,0,0,25.58,0,5.8,0,4.91,0,0,0,0.77
 72-82,0,0.79,0,2.33,3.99,60.65,0,0.61,44.3,0,0,0,1.89,0,0,1.52,0,0,11.25,1.17,0,69.63,0,45.05,0,0,4.5,0,0,0,10.55,0.69,1.01,1.7,7.52
 84-94,0,0,0,6.63,14.61,93.65,1.24,1.81,26.54,0.63,0,0,4,0,0.93,2.05,0,3.37,11.71,2.51,0,58.58,0,22.77,0.59,0,42.98,0,0,0,7.74,9.68,0,0.84,17.15
 96-106,0,1.41,0,5.33,14.95,36.29,0.63,0,21.17,0.68,0,0,5.88,0.93,0.67,3.3,0.67,0,7.37,2.71,0,77.1,0,58.95,1.6,0,20.79,0,0,0,7.6,6.81,0,0.56,13.75
108-118,0,0,0,10,0,87.38,4.49,1.86,62.44,3.65,0,0,3.69,0,8.59,1.1,0,3.37,10.83,0,0,88.15,0,41.19,0.56,0,16.53,0,0.85,0,0.42,15.6,0,4.27,16.84
120,0,0,0,1.18,0,4.27,0,0,51.21,0,0,0,4.28,2.78,0,0,0,0,19.53,0,2.65,94.89,0,32.44,0,0,22.25,0,1.87,0,16.26,10.71,0,2.1,0
