stage,erythrocytes,eye,lateral.line,mesenchyme,neural
 24-34,0,0,1.4,0,0
 36-46,0,0,1.15,0,0
 48-58,0,0,1.47,0,0
 60-70,0,0,3.64,0,0
 72-82,0,0,4.25,0,0
 84-94,0,0.61,8.11,0,4.39
 96-106,5.23,0,11.89,2.99,0
108-118,0,0,6.57,2,2.49
120,0,0,1.04,0,0
