stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,126.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,0,0,0,18.96,0,0,0,0,0,0,0,0,0,0
 10-12,5.04,0,5.83,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.07,4.99,0,0,7.86,0,4.52,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.9,7.4,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0.91,0,0,0.83,59.02,0,0,0,0,0,0,0,0.87,41.75,0,0,0,0,0
 24-34,0,0,0,1.24,0.76,0,11.89,0,0,0,0.87,0,0,0,0,0,0,0,0,10.37,0,0,3.4,538.41,0.79,25.36,0,0,0,0.86,0,0,255.17,0,0,2.84,0,0
 36-46,0,0,0,0.98,0,0,22.48,0,0,0,2.51,0,0,0,1.77,0,0,0,6.19,4.61,0,0,1.33,1430.95,0.63,39.9,0,0,0,0,0,0,402.32,0,0,0,0,0
 48-58,0,0,0,0.81,1.52,0,187.87,0,0.41,0,27.17,0,0.83,0.38,0,0,0,0,0,38.85,0,0.92,1.13,2258.12,4.54,25.03,0,0,0,1.18,0,0,504.69,0,0,0,0,25.27
 60-70,0,0.7,0,6.42,0,0,781.6,0,0,13.13,30.08,0.85,0,0,0,1.14,0,0,0,26.73,0,0,2.49,3507.08,0,10.14,0,0,0,2.96,0,0,533.1,0,0.63,2.13,0,17.51
 72-82,0,0,0,20.65,10.24,0,1201.03,0,0,12.23,73.08,2.23,2.56,0,0,0.57,0.65,1.49,0,61.78,0,3.77,1.31,3135.24,0,35.83,0.55,0,0,12.2,0,0,423.04,0,0.53,15.61,0.81,11.77
 84-94,0,0,0,20.31,3.39,11.01,885.7,0,3.15,9.9,41.48,0,0,1.69,0,0,0.78,10.51,2.36,48.36,0.92,1.52,0,2117.95,0,22.15,2.4,0,0.6,8.48,0,0,271.88,1.46,0,0.57,0,6.18
 96-106,0,0,0,7.83,16.33,1.07,827.68,0,0,0.75,58.41,0,0,7.27,0.66,0,0,2.97,0,32.41,0,7.85,4.37,1955.09,0,20.89,0,0,1.51,9.23,1.88,0,132.19,0,0,0,0,0
108-118,0,0,0,25.19,1.41,2.73,771.28,0,1.06,0,69.05,4.14,0,0.79,0,5.15,0,0,0,45.99,6.46,1.56,1.79,2352.71,0,21.2,1.28,0,0,4.46,0,0,129.6,8.86,0,1.98,0.57,0
120,0,0,0,18.68,3.58,0,746.22,1.95,0,0,121.01,0,0,0,0,0,0,0,0,44.33,0,0,5.03,4035.57,0,7.38,13.55,0,0,25.58,2.39,0,239.29,0,0,0,0,0
