stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,17.84,289.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,114.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.68,0,0,0,0,0,0,0,0
  7-9,0,13.98,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,15.78,0,0,0,12.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,13.55,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,304.58,0,1.25,0,0,0,0,0,0,0,0,0,0,2.58,0,1.34,12.73,0,0,0,0,0,0,0.84,0,2.04,8.74,0,0,0,0
 24-34,0,0,0.97,1.45,782.02,2.72,105.22,68.28,3.39,0,0,0,0,0,0,0,0,5.09,0,0,190.41,14.57,2.43,0,0,0,0.66,1.58,0,6.03,55.41,0,0,2.79,0
 36-46,16.91,0,0,0,144.67,0,276.4,198.9,3.94,1.67,0,0,0,0,0,0,6.48,0,0,1.25,84.03,18.9,0,0,0,0,0.61,0,0,0,54.25,0,0,0.91,0
 48-58,0,0,0,0,34.27,0,244.32,117.69,2.22,1.08,0,0,0,0,0,0,11.3,0,0.42,1.77,31.98,2.54,0.56,0,0,0.56,2.42,0,0,0,24.27,0,0,0,0
 60-70,0,0,0,0,11,0,262.58,71.06,4.1,0.64,5.86,0,0,0,0,0,12.4,0,0,0,26.17,0,0,0,0,0,6.53,0,0,0,14.24,0,1.6,0,0
 72-82,0,0,0,0,10.21,1.23,196.52,71.05,1.18,1.22,0.74,0,0.53,0,0,1.36,21.96,0,5.43,0,32.76,0,2.01,0.81,0,0,2.82,0,0,0,12.6,0,0,0,1.51
 84-94,0.62,0,0,0,38.32,1.53,236.69,86.68,0,1.11,5.14,0,0,0,0,0,15.46,0,12.26,1.13,29.64,0,4.45,0,0,0,0,0,0.74,0,10.78,0.56,1.04,0,0
 96-106,0,0,0,0,57.6,0,214.29,57.23,0.81,0,6.91,0,2.72,1.14,0.74,0,25.73,0,12.31,0,22.4,0,0,1.94,0,0,1.73,0,0,0,7.92,0,0,0,1.88
108-118,0,0,0,0.74,56.44,0,182.97,75.69,0,0,11.05,0,4.21,0,0,0,26.43,0,12.93,0,31.94,0,3.33,1.22,0,0,2.46,0,0,0,1.55,0,0,0,1.74
120,0,0,0,0,49.02,0,202.78,51.02,0,0,8,0,2.69,0,0,0,46.06,0,0,0,44.83,0,0,0,0,0,5.56,0,0,0,0,0,0,0,4.22
