stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,67.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.36,0,0,4.18,0,0,0,0,0,0,0,0
 10-12,0,0,13.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1,0,0,0,0,0,4.5,0,0,0,0,0
 14-21,0,0,1.09,7.44,0.99,0,3.9,0,0,1.19,0,0,1.32,0,0,0,0,0.86,0.82,0,0,2.71,44.89,0,0,1.99,6.52,5.49,0,4,7.92,0,1.49,0
 24-34,0,0,0.81,3.4,0,0,3.15,0,0.68,0,0.66,0,0,0,0,1.09,11.67,1.64,5.33,0,0,1.41,16.37,1.85,0,0,15.92,0,0,0,2.66,0,0.93,1.48
 36-46,0,0,0,11.61,0,0,5.87,2.76,0,1.03,1.94,0,2.39,3.08,0,0,2.81,2.27,7.94,0,0,5.37,25.66,0,0,0,30.39,0,0,0,6.96,0,3.25,3.02
 48-58,0,0,0,9.63,0,0,0.4,0,0.96,2.88,0,0,1.18,0,0.38,0,6.99,0,5.6,0,0.44,0.39,8.29,0,0.44,0,11.36,0,0,0,5.41,0,1.15,0.54
 60-70,0,0,0,11.6,0,0,5.71,0,2,2.42,6.48,0,1.98,0,3.02,0,11.74,0,9.47,0.85,0.66,2.76,22.55,0.81,0,0,12.27,0,0,0,2.47,0,2.13,0
 72-82,0,0,0,4.25,0,0,0,0,0.64,3.11,6.9,0,0,0,0,1.28,1.32,0,5.58,0,1.74,2.34,8.64,0,0,0,3.83,0,1.87,0,0,0,0,0
 84-94,0,0.81,0,20.97,0,0,9.12,0,1.42,7.58,41.42,1.21,0.67,0,0,1.72,4.06,0,37.39,6.91,0,5.61,8.13,0.64,0.89,0,41.61,0,0.91,0,0.66,3.05,3.21,0
 96-106,0,0,0,4.52,0,0,12.37,1.21,0,6.48,20.05,0.86,0.7,0,2.56,0.79,1.81,0,30.56,0,0,5.52,7.83,0.63,0.73,0,4.31,0,0,0,0,0,4.39,0
108-118,0,1.98,0,28.03,0.56,0.76,5.99,0.91,0,4.97,37.25,0,3.88,0.45,0,0.71,8.56,0,44.16,0,0,7.3,35.07,0.68,0,0,22.33,0,0.76,0,0,1.71,0,0.89
120,0,0,0,8.14,0,0,1.06,0,0,9.76,24.66,0,7.73,0,0,4.16,5.61,0,21.25,0,0,4.49,14.06,0,0,0,1.11,0,0,0,0,0,0,0
