stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.64,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,2.96,0,0.9,0,0
 24-34,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0
 36-46,0,0,0,20.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0
 48-58,0,0,0,125.11,0,0,4.4,0,0,0,0,0,0,5.68,0,0,0,0,0,0.89,0,0,0,0
 60-70,0,0,0,649.7,0,0,0,0,0,0,7.65,0,0,1.03,0,0,0,0,0,6.71,0,0,0,0
 72-82,0,0,0.75,496.23,0.55,7.8,0.54,0,0,0,2.56,0,0,7.5,0,0,0,0,0,0,0,0,1.39,0
 84-94,0,0,0.57,453.54,0.56,0,2.45,0,2.24,0,0,0,1.09,24.99,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,355.91,0,0,0,1.53,0,6.49,1.66,0,0,8.89,0,0.84,0,0,0.6,0,0,0,0,0
108-118,0,0,0,255.66,0,0,0,0,0,3.87,0,0.71,0,7.67,0,0,1.12,1.48,0,3.24,2.7,0,0,0.84
120,0,0,0,226.39,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0
