stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,24.95,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.36,14.19,0,0,0,0,0,0
 14-21,0,0,0,0.98,0,0,0,0,0,0,0,0,3.87,0,0,0,1.21,1.07,3.19,0
 24-34,0,0,1.4,0,0,0,0,0,0,0,0.91,0,17.82,0,0,0.83,0,0,3.41,2.54
 36-46,0,0,0,0,1.91,0,0,0,0,0,0,0,11.62,0,0,12.37,0,0,4.4,0
 48-58,0,0,0,0,6.88,4.31,0,0,0,1.38,0,0.48,9.48,0,0,0,0,0,2.08,0
 60-70,0,0.62,0,0,11.97,0,0.86,0,0.71,0.76,0,0,4.66,0,0,0,0,0,4.24,1.33
 72-82,0,0,0,0,0,0,3.9,0.51,0,1.42,0,0,7.55,0,0,0,0,0,1.27,3.3
 84-94,0,0,0,0,0,0,1.17,0,0,1.43,0,0,7.77,0,4.76,0,0,0,0,2.13
 96-106,0,0,0,0,1.07,0,2.88,0,0.97,0,0,0,2.79,0,0,0,0,0,0,0
108-118,0,0,1.69,0,0,0,1.12,0,0,0,0,0,10.41,0,0,0,0,0,0,2.28
120,0,0,0,0,0,0,4.56,0,0,8.13,0,0,4.67,0,0,0,0,0,0,4.05
