stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.23,11.94,3.9,0,1.48,0,4.41,1.21,1.35,0,0,0.92,0,0,6.49,0,0,3.99,120.07,0,2.37,0,4.14,1.62,16.17,0,4.8,24.1,0.82,0,3.62
 24-34,0,5.41,3.21,0,56.08,0,4.89,3.27,0,0,0.62,0,0,0.67,44.97,0,0.81,10.33,591.92,1.74,1.63,0.96,0,4.62,0,0.99,3.76,106.38,5.43,0,0
 36-46,0.56,7.86,2.16,0,181.84,0,8.86,0,0,0.87,0,0,0,0,30.05,0,0.77,4.59,437.26,0,4.35,5.53,0,1.1,0,0,0,73.74,5.48,0,0
 48-58,0,1.02,0,0,295.84,0,17.68,1.15,0,0,0,0,0,1.04,29.89,0,7.67,4.76,403.6,0.56,0,0.46,0,2.42,3.76,0,0,40.64,1.47,0,0
 60-70,0,4.48,0,0,219.45,1.38,13.94,0.95,0,0,1.44,0,0,0,35.42,1.53,0,0,176.91,0,0.81,0.99,0,0,0,0,0,12.45,1.02,0,0
 72-82,0,1.82,0,0,75.77,0,5.6,4.93,0,0,0,2.21,0,0,19.27,0,2.17,2.08,75.65,0,0,0,4.01,0,0,0,0,2.88,2.94,0,0
 84-94,0,3.28,3.35,0,27.67,0,2.86,0.63,0,0,0,0,0,1.72,12.17,0,0.6,5.91,35.06,0,6.05,1.52,0,1.32,0,0,0,3.88,1.22,0,0
 96-106,0,2.39,0,0,23.89,0,3.97,0,0,0.89,0,0,0,0,7.61,0,0,2.31,34.71,0,1.68,2,0,0,0,0,0,5.28,0.58,0,0
108-118,0,1.14,0.48,0.85,39.97,1.14,6.05,0,0,0,3.94,1.43,0.78,0.43,10.59,0,0.65,1.9,61.45,0,0.95,0.79,0,0,0,0,0,1.92,3.03,0,0
120,0,8.3,6.36,0,99.17,1.04,24.02,0,0,0,0,0,0,0,19.43,0,2.35,4.28,117.66,0,0,8.51,0,0,0,0,0,0,3.81,4.22,0
