stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.91,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.65,0,0,0
 24-34,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,22.87,0,0,466.4,4.32,0,3.93
 36-46,0,0,0,0,0,0,0,0,0,107.54,0,0.76,0,0.59,73.43,0,0,463.64,1.33,0,3.16
 48-58,0,2.33,0,0,0,0,0,0,4.61,5.79,0,0,0,0,5.56,0,0,161.59,0,0,0
 60-70,0,0,0,6.91,0,0,0,0,3.49,0,0,1.4,0,0,15.44,0,0,168.98,0.81,5.55,0
 72-82,0,0,5.25,7.85,0,0,0,0,0,0,0,0,0,0,2.94,0,0,297.97,0,0,1.05
 84-94,0,5.29,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,2.25,267.14,0,0,0
 96-106,0,2.23,0.67,20.06,0,3.53,0.61,0,0,9.08,0,7.08,1.75,0,12.27,1.18,7.52,495.2,0,0,0
108-118,0,0.69,0,9.49,1.05,12.04,1.98,0.7,0.73,4.99,1.75,4.69,0,0,7.88,0,0.93,316.53,0,0,0
120,0,1.57,4.54,0,0,2.21,0,0,0,0,0,23.23,0,8.06,32.76,0,1.71,314.49,0,2.2,3.36
