stage,blastomeres,endoderm,eye,glial,gut,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.91,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,30.9,0,11.39,0,0,0,0,0,0
 10-12,0,6.02,3.39,0,0,0,0,39.19,21.12,0,0,0,0,0,0,0
 14-21,0,0,0,1.26,0.82,1.16,0,0,0,1.03,0,1.83,2.12,5.13,0,4.33
 24-34,0,0,0,0,0,0.72,1.06,1.37,0,0,0,0,0,0,0,0
 36-46,0,0,0.57,0,0,0,0,2.36,0,0,0,0,0,0,0,0
 48-58,0,0,0.63,0,0,0.86,0.51,2.43,0,0,0.43,0,0,0,0,0
 60-70,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.94,0.59,0,0,0,3.12,0,0,0,1.06,0,0,0.5,0
 84-94,0,0,0,0,0,1.97,0,0.85,0,0,0,0,0,0,0,0
108-118,0,0,7.92,0,0.46,0,0,2.31,0,0,0.9,0,0,0,0,0
120,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0
