stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,gut,mesenchyme,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,xanthophores
  5-6,6.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85
 60-70,0,0,0,0,0,4.45,1.41,0,0,0,0,0,0,0,0,0
 72-82,0,2.91,0,5.75,1.24,10.32,0.59,0,0,0,0,1.22,0,0,0,0
 84-94,0,3.65,0,0,0.91,23.09,0,0,0,0,1.75,0,0.67,0,0,0
 96-106,0,2.55,0.89,1.67,3.03,23.78,0.61,10.58,1.12,0,0,0,0,0,0,1.89
108-118,0,4.08,0,0,0,36.87,0,10.9,0,0,0,0,2.25,0,0,0
120,0,13.58,3.54,0,0,100.53,0,45.19,0,0,13.5,0,4.26,0,1.64,0
