stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.88,869.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,0,0,0,0,0,0,0,0,0
  5-6,73.8,1074.21,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,58.19,0,0,0,29.04,0,36.49,0,0,0,0,0,0,0,0,0
  7-9,20.18,23.8,0,36.17,0,0,0,35.39,0,0,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,567.31,50.95,0,0,259.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.95,0,35.93,0,6.18,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.02,48.02,0,0,227.89,0,0,0,48.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.28,2.27,0,2.47,0,0,0,0.88,1,1.11,0.96,0,0,0,0,0,0.86,2.03,0,0,0.82,34.27,0,0,0,0.87,0,0,7.72,0,3.35,5.24,0,0,0,0,0
 24-34,0,0,0,0.7,1.35,0,0,6.91,0,0,0,0.81,0,0,0,0.65,0,0,0,0,0.78,5.94,0,0,1.2,56.72,0.75,0,0,0,0,0.82,0.76,0,0,16.55,0,0,7.5,0,0
 36-46,0,0,0,0,5.11,0,0,9.81,0,0,0,4.04,0,0,0,0,0,0,0.81,0,0,16.5,0,0,0.56,130.11,0,0,0.97,0,0,0,0,0,0,13.72,0,0,7.77,0,0
 48-58,0,0,0,0,2.36,0,0,37.95,0,0,0,2.58,0,0,0.83,13.94,0,0,0,0,6.87,7.64,0,0,5.21,98.87,3.12,0,0.65,0,0,7.06,0,2.28,0,21.57,0,0.42,0.92,0,0
 60-70,0,0,0,0,1.27,0,0,79.67,0.63,0,1.45,13.4,0,0,0,8.27,0,0.66,0,0.87,0,42.51,0,0,4.9,243.02,1.81,2.41,0,0,0,6.95,0,0,0,38.46,0,5.77,0,0,0
 72-82,0,0,0.56,0,9.22,10.31,0,113.79,0,0,5.83,32.61,0,0,0,2.4,0.63,0,0,0,0,46.69,0,0,6.29,217.49,0,1.76,0,0,0,1.7,0,0,0,37.07,0,0.73,5.56,0.77,0
 84-94,0,0,0,1,4.62,6.2,0,65.96,0,0,6.55,17.9,2.62,0,0,4.86,0,0.97,0,0,0,38.33,5.11,1.17,3.28,76.21,0.62,3.77,0,0,0,0.57,0,0.56,0,11.97,0,1.74,0,0,0.77
 96-106,0,0,1.17,0,4.59,18.09,2.87,41.11,0,0,0,23.49,0,0,1.33,1.45,0.86,0,0.67,0,0,42.71,4.41,2.6,1.08,72.8,0.62,3.06,0,0,2.01,2.5,0,0,0,12.4,1.87,0.58,3.21,1.16,2.15
108-118,0,0,0,0,7.7,5.58,0,59.6,2.62,1.68,1.55,9.28,1.62,0,2.87,3.12,0.45,1.9,0,6.06,0,43.44,1.09,0,1.37,176.73,0.42,0.46,4.89,0,0,2.17,0,0,0,24.87,1.74,2.42,4.49,2.62,0.49
120,0,0,0,0,11.12,1.53,0,33.92,0,0,0,73.99,0,0,4.91,20.55,0,0,0,0,0,61.83,0,0,3.16,255.52,1.08,0,1.51,0,3.68,6.27,0,0,0,4.48,0,3.24,27.57,0,0
