stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,135.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.79,99.42,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,14.56,0,0,0,18.53,0,0,0,0,0,0
  7-9,0,8.02,0,0,0,6.53,0,0,24.86,0,0,0,0,0,0,0,0,52.1,4.52,0,0,8.18,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.3,0,0,13.04,0,0,0,0,0,0,0,0,47.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,3.95,3.2,0,0,0,0.84,0,0.86,0,1.96,0,0,0,15.68,0,0,0,0,0,0.91,3.75,5.57,5.54,0.91,0
 24-34,0,0,0,0,0,3.19,0,0,0,0,0,0,0,2.49,0,0,1.14,21.69,0.6,0,0,0,7.04,0,0,0,4.12,1.15,0
 36-46,0,0,0,0.87,0,2.4,0,0,0,0,0,0,0,0.57,0,0,1.9,12.88,0,0,0,0,0.81,0,0,0,3.9,1.37,0
 48-58,0,0,0,0,0,14.23,0,0.74,0,0,1.13,0,0,4.53,0,0,0.57,14.04,1.94,0.43,0,0,0,0,0,0,1.37,0.54,0
 60-70,0,0,0,0,0,14.35,0,1.68,0,0,0,0,0,2.02,0,0,0,13.42,0,0,0.81,0,0,0,0,0,0,0.6,0
 72-82,0,0,0,0,0,1.46,0,0,0,0,0.59,0,0,5.53,0,0,0.65,2.45,0,0.53,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,9.63,0,0,0,0,2.11,0,0,2.38,0,0,0,5.47,0,0,0,0,0.96,0,0,0,1.09,0,0
 96-106,0,0,0,0.8,6.79,11.32,3.88,0,0,0.92,3.06,0,0,1.78,0.77,0.8,0.61,5.49,1.52,0,0,0,0,0,0,0,0,3.14,2.17
108-118,0,0,0,0.95,0,3.35,0,2.62,0,0,6.44,0.58,0,2.64,0,0,1.07,5.91,0,0,0,0,1.17,0,0,0,0,0.73,1.82
120,0,0,0,0,4.51,2.19,0,0,0,0,21.58,0,5.85,0,0,0,0,6.46,0,0,0,0,1.21,0,0,0,0,1.15,0
