stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,7.93,0,0,0,0,0,0
 14-21,171.31,0,0,0,25.8,0,0,0,0,0,0,4.77,0,5.08,0,0,0,0,0.84,1.42,0,0,0
 24-34,357.34,0,3.4,0,273.28,0,0,0,0,0,2.12,1.03,0,27,1.55,0.67,0,0,20.15,3.98,0,0,0
 36-46,36.81,0,0.79,1.38,279.21,0,0.92,0,0,0,3.15,0,0,9.47,0.6,0,0,0,95.51,0,0,0,0
 48-58,13.29,0,9.69,0,401.57,5.43,1.38,0,0,0,1.87,2.21,2.32,36.73,0,0,0,0,174.6,4.25,0,0,0
 60-70,0,0,1.52,0,295.84,0,0,0,0,0,3.8,0,0,8.8,0,0,0,0,194.11,0,0,0,0
 72-82,0,0.59,15.86,0,312.03,0.85,0,0,0,0,3.45,2.53,0,6.99,0.65,0.91,0,0,245.9,4.51,0,0.81,0.98
 84-94,8.19,1.08,1.58,0,423.3,0,0,0.81,0,0,0,0,0,8.98,0,0,0,0,459.35,0,1.67,0,0
 96-106,0.73,0,15.51,0,362.73,2.24,0,0,1.8,0,0,0,0,0,0,0,0,1.32,380.95,0,0,0,0
108-118,2.63,0,0,0,358.14,1.73,0,0,0,2.49,1.06,0,0,10.7,0,0,0,0,159.4,0,0,0,0
120,14.55,0,10.32,0,599.73,0,0,0,0,0,4.76,3.43,0,17.23,0,0,0,0,223.53,0,0,0,0
