stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,1.64,0,0,1.54,0,0,0,1.76,6.53,0,0,0,0,0.82,0,0,0,0,0
 24-34,0.93,0,1.53,0,0,0,0,0,0,2.58,0,0,0,7.41,0,0,0,0,0,2.84,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0.68,0,0,0,0,0,0,0
 48-58,1.03,0,5.18,0,0,0,0,0,0,1.18,0,0,0,28.68,0,0.4,0,0,0,0.72,0,0,0,0
 60-70,0.74,0,4.69,0,0,5.06,0,0,0,2.17,0,0,0,16.39,0,0,3.74,0,0,3.18,0,0,0,3.97
 72-82,0.55,0,6.54,0,0,1.97,0,0.74,0,3.97,0,0.57,0,5.44,0,0,1.6,0,0,0,0,0,0,0
 84-94,6.23,0.69,8.88,0,0.93,4.08,0,0,0,1.38,1.34,0,0,1.71,0,0,5.23,0,0,5.56,0,0,0.78,0
 96-106,0,0,18.88,0,0,0,1.68,0,0,1.41,0,0,0,1.94,1.86,0,1.38,4.11,0,0,0,0,0,0
108-118,0,0,9.01,0,0,0,0,0,0,0.48,0,0,0,11.98,0,1.24,0.46,0,0,0,0,1.17,0,0
120,2.13,0,0,1.26,0,0,0,0,0,19.29,0,8.42,0,30.7,0,0,2.01,0,0,0,2.12,0,0,0
