stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,somites
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0
 10-12,5.14,0,0,0,0,0,0,0,0,0,0,0,0,15.33,0,0,0,0,0
 14-21,0,0,17.29,0,0,0,1.72,0,0,0,0,0,2.23,0,0,0,6.91,1.26,2.78
 24-34,0,0,1.32,0,0,0,2.78,0,0.68,0,0,0,0,6.16,0,0,1.82,0,1.3
 36-46,0,0,1.08,0,0,0,0.6,0,0,0,0,0,0,7.39,0.94,0,13.73,0,0
 48-58,0,0,0,7.83,4.04,0.57,0,4.71,0,0,0,0,0,1.23,0.78,0,0.41,0,0
 60-70,0,0,11.17,26.03,9.41,0,0,3.46,0,0,0,0,0,9.79,1.04,0,3.26,0,0
 72-82,0,0.71,0,13.17,0,0.81,0.66,6.09,0,0,0,2.88,0,3.35,0,0,3.82,0,0
 84-94,0,0,2.95,17.37,0,0,0.6,7.92,0,1.15,0,7.46,0,0,0,0,10.6,0,0
 96-106,0,0,3.25,13.42,0.66,0,0,0,0,0,0,2.71,0,3.41,0.57,0,17.46,0,0
108-118,0,0,10.74,7.78,0.62,0,1.73,8.7,0,2.23,3.15,0,0,1.61,0,0,21.1,0,0
120,0,0,1.65,3.77,0,0,0,0,0,0,0,0,0,3.82,0,0,7.69,0,0
