stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
  3-4,0,33.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.95,0,0,0,0,0,2.07,5.08,0,0
 24-34,0,0,0,0,0,0,0,0.61,0,0,1.02,6.36,0,0,0,2.11,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,2.4,0
 48-58,0,0,0,0,0.59,0,0,0,0,0,0.63,4.68,0,0,0,0,1.78
 60-70,0,0,0,0,0,0,0,0,0,0.88,0,4.11,0,0,0,1.3,0
 72-82,0,0,0.65,0,4.2,0.75,0,0,0,0,0,1.24,0,0,0,0,0
 84-94,0,0,0,1.23,0,0,0.81,0,0.93,0,0,0,0.58,0,0,0,0
 96-106,0,0,0,5.1,0,0,0,0,0,0,0,4.67,0,0,1.22,0,0
108-118,0,0,0.43,0,0,0,0,0,0,0,0,2.98,0,0,0.96,0,0
120,0,0,0,0,0,0,0,0,2.9,0,0,3.98,0,0,0,0,0
