stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93,0,0,0,0,0,12.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87,0,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,2.2,1.68,0,0,0.87,0,0,0,0,0.94,1.64,0,0,0,0,0
 24-34,0,0,6.12,0,0,4.17,0,0,0,2.11,0,0,0,0.88,0,0,0.66,0,1.92,0,0.83,12.06,0,0,0,0,1.26,0,0,0,0,7.74,0,0,0,0,0
 36-46,0,0,3.44,0,0,1.28,0,0,0.65,0.62,0,0,0,0.81,0,0,0,0,1.39,0,0,1.74,0,0,0,0,2.85,0,0,0,0,3.7,0,0,0,0,0
 48-58,0,0,0,0,0,1.01,0,0,0,0,2.44,1.62,0,0,0,0,4.18,0,2.45,0,0,4.8,0.72,0,0,0,4.94,0,0,0,0,2.75,0,0,0.73,0,0
 60-70,0,0,0,0,0,4.08,0,0,0,2.21,0,0,0,5.2,0,0,0,0,10.95,9.54,5.52,12.17,0,0,0,0,1.36,0,0,2.37,0,3.04,0,0,1.25,2.76,0
 72-82,0,0,1.53,0,0,37.59,0.76,0,0,11.13,0,0,0,0,0,0,0.57,0,9.34,0,1.29,18.19,2.44,0,0,0,4.34,0,0,0,0,5.12,0,0.63,6.96,2.24,3.1
 84-94,0,0.94,2.23,0,2.16,22.08,1.03,0.57,0,4.22,0.77,0,0,0,0,0,0,2.44,6.46,0.58,0,2.61,0,0,0,0,9.37,0,0.64,0.59,0,0,0,0,1.14,0,7.62
 96-106,0,0,12.31,1.17,0.8,52.1,0.68,1.3,1.1,27.68,1.81,0,3.44,1.15,0,1.38,10.5,0,17.32,3.36,1.82,20.31,0,0,2.82,0,24.82,0,1.17,0,0,3.57,0,0.72,3.33,0.69,0
108-118,0,0,4.02,0.98,13.92,61.43,2,0.48,0,29.71,4.36,0,0,3.42,0.48,0,9.26,0,11.59,0.49,1.54,26.63,3.65,3.03,0.6,0,15.37,0,0.64,0.91,0,0.72,1.01,1.42,2.14,2.2,0
120,0,0,34.11,0,4.93,93.12,0,2.29,20.31,42.13,1.04,0,0,3.79,0,0,22.4,1.51,25.78,0,0,13.78,1.25,0,4.96,0,5.88,0,0,0,0,0,0,1.32,0,0,0
