stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,69.59,1333.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0
  5-6,20.72,691.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,12.44,8.78,0,0,0,0,0,0
  7-9,6.58,9.28,0,0,0,0,0,0,0,0,0,5.58,0,0,0,0,0,0,0,0,0,0,65.52,3.43,0,0,22.98,0,10.61,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,0,0,0,3.03,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,29.76,0,0,0,0,0,0,0,17.93,0,0,0
 24-34,0,0,1.43,1.88,0,6.09,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0.87,393.89,0,4.24,0.98,0,2.95,0,0,104.04,0,0,0
 36-46,0,0,1.41,3.96,0,14.33,1.18,0,0,24.94,0,0,0,0,0,0,0,0,0,0,0,0.7,982.61,0,13.95,0,0,3.04,0,0,193.02,0,0,0
 48-58,0,0,1.06,3.42,0,40.08,0,0,1.41,50.63,0,0,0,0,0,6.72,0,0,8.36,0,0,0.79,1297.13,0,3.73,0,0,4.84,0,0,230.61,0,0,2.65
 60-70,0,0,0.89,0.77,0,133.96,1.01,0,1.28,90.96,0,0.66,0,0,0,0,0,0,9.96,0,0,0.83,1802.33,5.7,4.32,0,0,3.91,0,1.01,139.19,0,0,0
 72-82,0,0,2.89,4.18,0.7,248.76,0,2.19,11.13,103.08,0.64,0,1.84,2.95,3.72,5.22,0,0,15.38,1.12,0,0.71,2385.82,0,4.4,5.81,0,1.1,0,0,161.59,0,0,0
 84-94,0,0,3.77,7.75,7.51,183.33,0,0,0,157.57,1.67,0,0,0,0,0,0.64,3.36,24.83,0,4.57,0.98,1643.98,0,1.39,0,0,7.84,0,3.45,76.61,0,0,0
 96-106,0,0,2.86,11.27,2.88,289.37,0.79,2.73,20.96,131.71,3.42,0,0,3.95,0,0,0,12.47,17.63,0,1.37,5.94,1597.57,1.17,9.01,0,0,8.92,1.35,0,57.05,1.57,1.93,2.1
108-118,0,0,2.93,8.75,1.01,234.77,0,0,0,97.42,1.87,0,0,0.61,0,0,0,0,20.25,0,0,3.12,1738.01,0,1.8,5.11,0,1.89,0,0,44.87,1.22,1.09,9.21
120,0,0,0,8.39,0,308.25,1.61,0,0,193.02,11.15,0,0,6.48,0,0,0,0,54.7,0,0,0,3299.49,0,20.42,23.36,0,0,0,0,89.99,0,0,0
