stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.8,0,4.03,0,0,0.79,1.11,0,0,0,0,0,1.3,0,0,0,18.25,0,0,0.71,0,0,0,0,0,2.71,0,0,1.5,0,0
 36-46,0,0,0,0,6.33,0,0,0,0,0,0,0,0,4.5,1.75,0,0,0.95,6.61,0,0,0.64,0,0,0,1.63,0,2.14,0,0,0,0,0
 48-58,0,0,0,0.44,21.08,0,0,0,2.11,0,0,0,0.5,7.54,2.49,0,0,0.97,11.11,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0
 60-70,0,0,0,0,45.18,0,0,0,4.49,0,0,0,0,0,10.64,0,0,0,2.09,0,1.51,0,0,0,0,0,0,1.24,0,0,0,0,0
 72-82,0,0,0.58,5.37,127.99,0.92,0,0.62,5.89,0,0,0,0,0,12.54,0,0,0.54,8.16,0,0,0,0,1.95,0,0,0,0,0.53,0,0,0,0
 84-94,0,0,1.02,7.82,143.86,0,0,0,0.84,0,0,0,0,4.34,9.83,0,1.9,0.56,1.57,1.16,0,0,0,2.36,0,0,0,0,0,0.58,0,1.25,0.74
 96-106,0,0,0.6,6.98,130.3,0.79,4.72,0,6.62,1.13,1.28,0,0,1.5,14.85,0,0,0.66,25.61,0,0,0.85,0,2.38,0,0,0,0,0,0,0.67,3.11,0
108-118,0,0,0,3.77,81.83,0,0,0.94,4.05,0,1.28,1.98,0,0,16.16,0,0,0,7.3,0,0,1.34,0,7.1,1.21,0,0.55,0.42,0,0,0,0.66,0.48
120,2.94,0,1.47,1.98,69.03,2.98,0,0,0,1.5,0,0,0,0,2.85,4.3,14.53,2.71,0,1.39,0,0,0,0,3.07,0,0,0,0,0,0,0,0
