stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.28,0,0,4.58,0,0,0,0,0,0,0
 14-21,0,2.26,261.5,0.83,0.88,0,0,0,0,0,0,0,0,6.34,0,0,11.16,0,0,0,0,8.48,3.26,0,0,0,0
 24-34,0,0,142.89,0,0.64,0,0,0,1.26,0,0,4.53,0,7.06,4.93,1.34,33.25,0,7.7,0,0,16.73,2.8,0,0,0,0
 36-46,0,0,45.26,0,1,1.04,1.16,0,0,0,0,0.7,0,4.14,0,0,2.81,2.11,8.57,0,0,36.38,1.15,0,0,0,0
 48-58,0,0,48.2,0,2.11,2.3,0.57,0,0,0,0,2.75,1.08,15.92,0.52,0.76,24.41,0,14.55,0,0,36.56,2.45,0,0,0,0
 60-70,0,0,56.15,0,7.66,6.81,0,3.46,0,0,0,0,0,32.39,0.57,0,24.7,0,5.97,0,0,18.3,0,0,0,0,0.99
 72-82,0,0,38.05,4.86,2.43,4.05,0,0,0,0,0.52,1.62,0,46.21,1.42,0.74,8.34,0,5.76,0,0,11.64,0,0,0,0.93,0
 84-94,0,0,35.07,0,0,2.63,0,3.36,0,0.8,0,0.78,0,43.9,1.27,0,7.83,0,4.05,0,0,29.66,0,0.84,0,0,0
 96-106,0,0,47.89,0,3.1,2.47,0,2.56,0,0,0,1.43,0,39.24,3.44,3.16,8.87,0,12.54,0,1.45,34.07,0,0,0,0,0
108-118,0.57,0,46.01,0,3.63,3.34,0.44,0,0,0,0,3.26,0,62.23,0,3.9,9.66,0,17.85,0,0,16.4,0,0,0.54,0.91,0
120,0,0,46.93,0,6.81,1.36,0,7.72,0,0,0,0,0,84.54,0,0,10.92,0,8.39,0,0,5.58,0,0,0,0,0
