stage,epidermis,glial,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,periderm,presomitic.mesoderm,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.85,0,0,0,0,0,0,1.07,0,0,0.89,0,0,0
 36-46,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0
 60-70,0,0.68,0,0,0,0.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.73,0.83,0,0,1.57,0,0.5,0,0,0,0
 84-94,0,2,1.45,0,0,0,3.74,0,0.63,1.62,0,0,1.09,0
 96-106,0,0,0,3,0,1.47,0,0,0,6.42,0,0,0,0
108-118,4.82,3.24,0.68,0.42,0,3.97,2.17,0,0,0.69,0,0.94,0.69,0.72
120,0,8.23,0,0,0,0,0,0,0,13.72,0,0,0,0
