stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.24,7.32,149.56,21.34,0,33.04,0,0,0,13.51,4.76,2.82,0,0,3.32,0,0,0,1.01,52.25,0,0,31.76,696.6,19.05,4.23,7.42,15.52,0,9.34,99.03,3.47,0,103.55,282.86,0,0,0.89,0,0
 24-34,0.66,0.7,15.17,1.75,0,22.87,0,8.01,0,19.15,0,0,1.94,0,0.85,0.85,0.77,1.39,4.1,33.25,0,0,23.45,867.06,1.66,31.56,4.74,0,0,9.53,2.33,1.06,0,6.9,244.34,0,0,7.45,0,0
 36-46,1.71,0,13.64,1.67,0,51.6,0,0.93,0,44.97,0,0,0,0,0,1.36,0.68,1.73,6.52,54.83,0.68,0,12.52,1505.17,13.99,26.6,2.12,0,0,31.91,0,0,0,0,326.53,0,0,0,0,0
 48-58,0,0,27.84,0,0,133.32,2.21,2.31,4.95,82.67,0,0,0,0.58,0.37,2.59,0.73,0,9.85,63.16,0,1.8,16.01,1618.86,15.47,14.92,2.92,0,0,16.11,0,0.74,0,0,367.03,0,0,4.11,0,2.48
 60-70,0,0,18.94,0,0,439.69,0,3.17,1.7,122.19,0,0,0,1.92,0.58,4.79,0.88,9,0,98.09,0,0,6.14,2048.64,1.52,2.45,5.33,0,0,16.64,0,0,0,0,369.85,2.51,0.61,0.67,0,1.87
 72-82,3.49,0,19.75,2.03,0,897.97,0,6.92,3.27,163.78,1.98,0,0,0,1.07,0.78,0,0,9.08,160.68,1.81,4.01,5.67,2114.57,1.41,17.84,4.87,0,0.84,13.91,0,1.5,0,0,228.03,2.99,2.15,4.05,1.55,11.53
 84-94,4.84,1.01,21.97,5.81,0,635.9,0,2.49,4.29,141.34,1.35,0,0,4.66,2.33,8.39,3.12,0,15.24,58.52,0,7.46,8.92,1385.25,0.72,18.65,7.4,0,0,15.88,0,4.62,0.66,0,156.55,6.15,1.48,7.2,4.98,7.46
 96-106,8.38,0,15.23,2.4,0,689.58,0,3.75,10.05,174.44,9.51,0,0,2.3,1.96,1.14,6.1,9.84,0.77,129.26,0,11.5,7.72,1150.24,4.25,39.19,15.61,0,0,18.22,0,0,0.68,0,40.96,0,1.75,10.05,0,2.78
108-118,1.94,0,27.23,4.16,2.39,569.04,5.09,5.75,11.11,159.12,8.38,0,2.66,2.12,3.03,8.18,0.93,0.96,2.57,143.28,0,10.25,10.46,1661.09,3.47,19.59,13.99,0,1.49,25.73,0,3.31,0,0,97.15,2.48,1.72,4.43,5.33,0
120,0,0,35.8,5.23,0,416.91,1.18,8.19,9.59,198.32,2.51,0,2.63,0,2.56,5.05,0,0,1.61,118.34,0,18.55,17.04,2279.72,0,9.14,15.26,0,0,36.53,0,0,0,0,72.09,0,3.84,17.07,10.79,0
