stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.41,72.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.28,0,0,0,7.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39,0,0,0,4.5,0,0,0
 14-21,0,0,0.96,1.93,0,28.8,0,0.88,0.84,0,0,0,0,0,0,3.5,0,0,0,20.17,0.87,1.18,0,0,0,0.84,0.83,0,1.77,0,0
 24-34,0,0,0,2.74,0,385.9,0,0,0,0,0,0,7.97,0,0,6.53,0,0,1.48,31.94,0,0.77,0.88,0,0,0,0,0,3.73,0,0
 36-46,0,0,0,2.43,0,386.27,3.61,2.82,0,1.71,0.57,0,0,0,0,1.63,0,0.92,3.73,47.75,0,0.66,0,0,0,4.48,0,0,12.59,1.23,3.66
 48-58,0,0,0,0,0,326.03,0,1.09,0,0,0,4.84,1.4,0.63,0,12.76,0,0,0,22.85,0,0,0.46,0,0,2.46,0,0,5.57,0.41,0
 60-70,0,0,0,6.7,0,159.41,0,1.21,0,0,0,0,2.21,0,0,20.26,0,0,0.62,4.39,0,0,0,0,0,1.93,0,0,5.87,0,0
 72-82,0,0,0,5.81,1.23,66.79,0,0.9,0,0,0,0,0,0,1.69,6.02,0,0,2.17,9.75,0.82,0,0,0,1.06,1.8,0,0,2.31,0.79,0
 84-94,0,0,0,4.17,0,74.42,1.95,1.31,0,0,0.77,0,0,0,0,0.92,0,0,0,18.62,0,0,0,0,0,1.16,0,0,0.87,2.01,0
 96-106,0,0,0,3.56,8.16,21.59,0.88,0,0,0,0,0,0,0,0,17.8,0,0,0,1.35,0,4.89,0,0,0,3,0,0,0,0,0
108-118,0,0,0.68,6.09,0,34.07,0.42,0,1.74,1.35,7.11,0,0.41,0,0,2.58,0,0,2.83,4.44,0,2.61,0,0,0,0.63,0,0,0,0,0
120,0,0,0,16.41,0,42.81,5.4,0,0,0,0,1.51,2.85,0,0,58.4,3.25,0,0,11.23,0,0,0,0,0,17.02,0,0,0,0,0
