stage,epidermis,erythrocytes,eye,neural,periderm
 14-21,0,1.21,0,0,0.81
 24-34,0.61,0,0,0,0
 48-58,0,0,0,0.42,0
 72-82,0,0,2.03,0.52,0
108-118,0,1.44,1.7,0,0
120,0,0,0,8.22,0
