stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,53.92,1.98,23.99,0.84,0,44.77,0,0,0,5.31,2.98,0,0,0,0,0,0,0,0,9.03,0,0,0,353.35,0,15.9,0,0,0,0,1.87,0,0,4.95,1187.62,0,0,0,0,0
 24-34,69.13,1.78,38.47,0,0,164.15,0,4.95,0,15.07,0,0,0,0,0,0,2.81,0,0,14.78,0.89,0,12.64,3804.56,2.53,204.22,1,0,13.6,0,0,0.8,0,2.49,969.46,0,0,5.07,0,0
 36-46,27.81,0,17.83,0,0,293.22,0,16.86,0,8.65,0,0.76,0,0,0,0,0,0.67,6.02,28.44,0.56,0,6.99,10836.95,0,301.92,16.73,0,59.82,0,0,5.61,0,0,966.67,0,0,0.78,0,14.25
 48-58,25,0,55.98,9.77,0,1354.97,1.1,11.76,3.53,85.22,2.57,1.09,1.72,12.02,0.4,5.36,1.32,6.87,2.52,93.46,1.21,0.59,25.75,17772.77,10.74,207.6,12.53,0,24.97,0,0,3.35,0.73,0,1414.78,0,0.51,7.22,0,13.2
 60-70,24.21,0,66.95,4.12,0,6186.25,0.65,9.14,9.26,151.79,2.63,0.98,0.93,0,0,16.69,2.72,15.75,0,124.74,0,7.9,21.09,24875.12,0,202.14,13.95,0,44.65,0,0,10.17,0.71,0,2012.26,3.02,0,14.43,4.48,3.49
 72-82,64.33,0,160.28,11.07,0,10607.1,1.07,21.05,12.17,435.64,39.66,0,2.35,14,1.8,28.26,4.1,7.51,2.06,258.07,5.71,6.55,14.36,32115.37,4.03,334.45,11.98,0.71,13,1.65,0,16.93,1.5,0,1363.04,27.11,7.25,12.27,7.81,35.96
 84-94,63.33,0,330.68,16.7,0,8742.97,4.59,13.6,19.12,437.69,40.86,1.95,3.57,17.35,0,23.39,9.49,14.56,8.29,279.07,9.76,28.35,30.45,21083.64,0,289.87,12.81,0,49.96,0,0,2.44,1.66,0,902.93,65.77,5.71,25,15.51,23.6
 96-106,73.76,0,197.42,36.44,4.76,8526.35,6.3,13.14,15,518.32,42.4,0,2.8,21.09,1.89,5.67,10.06,51.39,0,277.98,7.17,20.14,19.32,20171.85,3.32,468.43,20.36,5.87,47.14,34.34,0,4.15,3.27,0,525.09,38.38,5.9,17.8,8.3,22.54
108-118,94.64,4.57,152.13,13.95,11.53,9059.52,3.58,12.48,7.19,514.43,29.67,0,2.89,15.34,5.47,4.62,2.64,11.33,0,200.25,3.09,13.05,17.04,22439.6,2.6,294.47,18.25,0,36.79,0,0,16.77,0.68,0,431.4,67.62,2.41,26.13,6.87,2.14
120,53.72,0,396.45,21.18,55.05,9712.71,33.91,30.65,51.57,861.38,70.27,0,0,26.67,6.22,11.59,2.6,27.65,1.79,362.36,1.49,29.53,34.48,38853.42,27.59,468.35,10.79,0,27.96,0,0,12.76,2.35,0,890.79,18.89,5.29,17.75,8.42,11.53
