stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.93,0,0,0,0,0,0,3.07,1.02,0,0,0,0,0,0,0,0,0,0,0.86,0.89,0,0,78.1,0,0
 24-34,0,0,0,5.08,5.65,0,0.59,0,0,0,0,24.36,6.4,0.77,0,0,0,0.64,12.32,0,1.99,0,3.23,2.28,0.73,0,0,431.87,0,0
 36-46,0,0,0,40.85,0,0,2.59,1.65,0,2.63,0,11.98,23.07,0,0,5.89,0,0,10.63,1.05,0,0,1.58,0,2.24,0,0,337.37,0,0
 48-58,0,0,0,54.2,2.7,0,1.62,14.42,0,18.57,0,4.17,37.73,0,2.3,2.25,0,0.38,24.69,0,0,0,1.56,0.65,6.69,0,0,216.79,0,0.82
 60-70,0,0,0,63.76,0,0,4.42,8.61,0,82.18,0,0.71,40.25,0,3.7,0,0.68,2.09,27.2,0,0,0.89,0.66,0.59,6.94,0,0,170.72,0,0
 72-82,0,0,0.56,31.64,0,0,11.24,6.73,0.57,84.25,0,7.14,101.44,0,5.4,0,5.08,0,32.36,0,0,0,2.92,0,24.52,0,0,302.37,5.34,2.33
 84-94,0,0,0,125.26,0,0,3.55,18.73,1.55,87.59,0.74,2.66,118.96,0,4.01,1.27,3.74,0,6.19,0,0,0,0.9,1.11,18.9,0,0,339.82,12.76,0
 96-106,0,0,0,63.73,22.74,0,17.56,10.72,0,56.98,1.29,19.54,170.71,0,24.5,1.61,0.93,0,17.54,0,0,0,2.27,0.57,38.6,0,2.57,499.09,9.26,0
108-118,0.56,0,0,55.46,6.44,0.72,9.46,12.77,0,61.34,0,3.26,143.6,0,16.71,0,1.29,3.27,24.05,0,0,2.09,4.83,1.32,16.61,0.67,0,377.82,15.83,0
120,0,0,0,31.66,0,0,0,6.7,0,80.91,0,14.96,174.25,0,16.55,0,17.33,1.86,39.32,0,0,0,1.33,0,11.84,0,0,315.9,1.8,0
