stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,68.38,1505.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.84,0,0,0,0,0
  5-6,114.27,2079.13,0,0,0,0,0,0,25.49,0,0,0,0,0,110.79,0,0,0,6.24,7.49,0,0,0,0,0
  7-9,12.26,15.52,33.53,0,0,78.31,0,0,29.11,0,0,0,0,0,680.7,45.27,0,0,207.5,0,6.94,0,0,0,0
 10-12,0,17.58,28.56,0,6.65,34.49,0,0,0,0,0,0,0,0,313.61,3.1,0,0,128.35,0,0,0,9.43,0,0
 14-21,0,0,0,2.21,0.83,2.32,0,0,0,0,0,0.86,0,0,18.98,0,0,0,1.89,0,0,5.71,0,0,5.61
 24-34,0,0,0,0,0,3.75,0,0,0,0,0,1.35,0,0,29.32,1.66,0,0,0,0,0,0,0,0.67,6.77
 36-46,0,0,0,0,0,1.16,0.72,0,0,0,0,1.82,0,0.63,10.36,0,0,0,0,0,0,0,0,0,1.36
 48-58,0,0,0,0,0,3.57,0,0,0,0,0,1.71,0,0,10.5,0,0,0.4,0,0,0,0,0,0,2.55
 60-70,0,0,0,0,0,3.62,0,0,0,0,0.81,0.86,0,0,3.72,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.68,0,0,1.36,0,0,0,0,0.96,0.67,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.13,1.49,0,0,0,0,0,0.84,3.25,0,1.28,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,3.49
120,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
