stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,mesenchyme,mucous,muscle,neural,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,7.91,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,13.38,0,0,0
 14-21,0,0,0.89,0,0,0,0,0,0,0.87,2.96,0,3.3,0
 24-34,0,0,0.62,0,0,0.77,0,0,0,0.66,11.26,0,2.21,0
 36-46,0,0,0,0,1.24,0,2.47,0,0,0,1.65,0,0,0
 48-58,0,0,0,0,0,0,0,5.41,0,0,4.24,0,0.4,1.83
 60-70,0,0,0,0,0,0,0,0.57,0,0,4.93,0,1.48,2.37
 72-82,0,0,0,0,0,0,0.65,7.38,1.8,0.6,0.92,0,0,0
 84-94,0,0,0,0.55,0,0,1.74,0.93,0,0,0,0,0.98,0
 96-106,0.63,0.8,0,0,0,0,3.77,4.78,0,0.72,0,1.56,0,0
108-118,0,0,3.11,0,0,0,5.07,0.66,0,0,3.55,0,2.77,0
120,0,0,0,0,0,0,0,4.47,0,0,0,2.32,0,0
