stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,12.37,1138.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
  5-6,11.03,550.81,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,36.41,0,0,0,0,21.55,0,0,0,0,0,0
  7-9,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55,0,0,0,10.25,0,0,0,0,0,0,0
 10-12,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.94,0,0,0,5.6,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,3.86,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,37.43,1.32,0,327.21,0,0,0,5.71,0,0,0,0
 36-46,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0.71,0,1.21,0,2.33,0,0,0.68,13.38,0,0,805.93,0,0,5.98,0,0,0,0,0
 48-58,0,0,0,0,0,24.04,1.73,0,1.23,0,0,0,0,0,0,0,0,0,0.44,0.41,0.69,0,15.78,0,0,840.9,0,0.53,0,6.25,0,0,2.06,0
 60-70,0,0,0,0,0,16.62,0,0,0,0.96,0,0,0,0,0,0,0,0,1.44,0,0,0,41.86,0,0,707.4,0,0,1.87,1.63,0,0,0,0
 72-82,0,0,0,0,0,48.8,0,0,3.41,0,0,0,0,0,0,0,0,0,2.31,0,0,0,16.3,0,0,1947.51,0,0,0,8.7,0,0,3.22,0
 84-94,0,0,0,0,2.19,8.3,0,0,9.45,0,0,0,0,0,0,0,0,0,3.85,1.6,0,0,16.83,3.77,0,1257.27,0,0.65,0,0,2.8,0,0,0.64
 96-106,0,0,0.74,0,88.37,37.33,0,22.17,17.68,0,0,3.94,2.55,0.99,2.39,15.26,9.56,0,2.79,0,0,0.9,51.49,0,3.1,1496.6,0,23.94,0,0,0,0,0.68,0
108-118,0,0,0,0,15.81,32.49,0,0,7.85,0,0,0,2.01,0.8,0,0,2.2,4.49,5.07,0,0,1.87,34.95,3.85,0,1476.89,0,0.56,0,0,0,1.77,0,0
120,0,0,0,0,19.61,30.13,0,5.67,0,0,0,0,0,0,0,43.73,0,0,9.12,0,0,0,25.61,52.95,0,1215.47,0,10.36,0,0,0,0,0,0
