stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,140.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0
  5-6,26.1,185.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.73,0,0,33.67,0,0,58.91,0,0,0,0,43.03,0,0,0,0,0,0,0,0,0,355.39,11.29,0,0,112.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.04,0,45.89,0,5.14,30.17,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,454.46,0,0,0,147.16,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,0,24.66,8.22,9.25,0,0,20.4,0.81,0,0,0,0,0,0,0.86,16.6,0,5.27,139.84,0,0.98,6.74,5.02,0,0,47.14,6.67,0,13.93,64.42,0,0,0,0
 24-34,0,0,0,0,1.92,0,5.77,0.62,0,21.47,0,0,0,0,0,0.63,0,1.29,7.56,0,1.99,106.97,0,5.52,0,0,0,0,0.93,2.32,0,3.68,20.02,0,0,0,0
 36-46,0,0,0,0,0.58,0.57,8.71,0,0,6.66,0.67,0,0,0,0,1.91,0,0,6.94,0.57,0,87.59,0,6.72,0.65,0,0,1.85,0,0,0,0,29.29,0,1.85,0,0
 48-58,0,0,0,0,0.38,0,27.47,0,0.55,9.49,0,0,0,0,0.4,0,0,0.79,14.23,0,2.12,115.62,0.4,5.06,0.45,0,0,1.3,0,0,0,0,20.54,0.49,1.49,0,0
 60-70,0,0,0,0,1.1,0,43.8,0.9,0,14.72,0,0,0.76,0,0,0,0,0,13.14,0,3.21,119.22,1.33,6.18,0,0,0,0,0,0,0,0,9.02,0,0,0,0
 72-82,0,0,0,0,1.07,0,23.78,0,0.5,9.16,0,0,1.47,0.55,0,0,0,0,16.12,0,1.16,77.49,0.72,2.27,0.5,0,0,0.52,0,0,0,0,17.17,0.52,3.02,0.84,3.4
 84-94,0,0,0,0,1.76,0,14.82,1.55,1.43,7.4,1.87,0,0,0,0,0,0,0,15.68,1.2,2.32,41.63,0,9.74,2.42,0,0,5.56,0,0.62,0,0,1.58,1.31,0,0,0
 96-106,0,0,0.63,0,1.7,0,19.05,0,0,14.24,0,0,1.61,0.58,0,0,1.71,0,22.28,0,2.01,30.86,0,3.95,3.14,0,4.17,1.59,0,1.05,0,0,0.94,0,0,0,0
108-118,0,0,0,0,5.12,0,12.41,1.1,0,6.41,0,0,0,0.84,0,0,0,0,19.59,0.98,2.21,32.87,0,6.97,0.75,0,0,2.45,0,0,0.66,0,0,0,0,0,0
120,0,0,0,0,10.44,0,15.91,5.79,4.44,15.97,1.31,0,0,0,0,0,0,0,3.61,0,4.16,48.01,0,9.62,0,0,0,0,0,0,0,0,0,0,1.55,0,0
