stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,31.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.97,0,0,0,0,0,0,0,0,0,0,0,15.14,0,0,0,0,0,0,0,0,4.14,0,0,8.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24,0,0,4.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,2.12,0,0,3.33,0.95,0,0,0
 24-34,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0.7,0,1.09,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.92,0,0,0,0,0,0,0,0,0,0.62,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,5.58,0,0,0,0,0,0,0,0,0,0.54,0,0,0
 60-70,0,0,0,0,0,0,0,0.83,0,0,0.59,0,0,0,0,0,0,1.77,0.91,0,0,14.84,1.56,0,0,0,0,0,0,1.01,0,0,0,0,0
 72-82,0,0,0.78,0,0,0,0,4.48,0,0.49,0,7.85,0,0,0,0,0.9,31.27,3.48,0,0,20.82,0,0,0,0,0,0,0,0.59,0,1.23,0,1.93,0
 84-94,0,0,1.42,0,0,0,0,0,0,0,0,6.81,0,1.81,0,1.18,0,36.7,1.06,0,0,15.58,0,0,0,0,2.3,0,0,0,0,0,0,0,0
 96-106,0,0,2.97,0,1.6,14.13,0,16.64,1.4,0,9.85,116.24,0,0.86,2.43,0,3.68,833.79,21.01,1.06,0,220.19,0.7,1.1,0,0,8.55,0,0,0,0,8.31,2.03,5.44,0.93
108-118,0,0,5.06,0.74,4.62,8.47,6.65,49.37,1.44,2.35,13.12,317.05,0,0,1.96,10.29,0.67,1872.2,21.26,0,0.63,176.42,0,2.61,0,0.96,11.66,0,2.73,0.6,0,0,0,1.48,0
120,0,0,0,0,0,0,0,33.74,0,0,3.57,200.85,0,0,2.43,0,0,1016.32,11.87,0,0,145.56,0,16.34,0,0,4.24,0,9.58,0,0,0,0,0,0
