stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,59.8,1756.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.38,1300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.58,7.03,0,0,6.56,9.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,33.7,23.35,0,32.25,0,0,102.32,0,0,0,0,0,56.25,0,0,0,0,0,0,0,0,0,0,764.32,66.6,0,0,311.92,0,7.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.92,0,26.11,0,6.22,59.1,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,702.13,41.46,0,0,266.78,0,0,0,13.23,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.26,0,1.79,0,0,0,0,0,0,0,0,0,0.93,0,1.05,1.77,0,0,1.13,32.82,0,0.92,0,0,9.55,0,3.42,0,1.99,5.55,15.94,0,0,0.81,0,0
 24-34,0,0,0,0,6.35,0.76,4.93,0,0,0.92,1.74,0,0,0,0.9,0,0.72,0,0.94,7.18,0,0,2.23,72.67,5.04,2.51,0.73,0,0.96,0,0,0.65,0,0,24.36,0,0,5.36,0,0
 36-46,0,0,0,0,0.7,0,23.5,0,0,0,4.84,0,0,0,0,0,0,0,0,11.37,0,0,0.6,110.07,0,4.69,0,0,11.89,0,0,0,0,0,25.41,0,0,0,0,1.02
 48-58,0,0,0,0,2.93,0,22.18,0,0,0.67,2.53,0,0,0.49,0.96,0,0,0,3.45,28.69,0,0.37,3.2,83.16,0,1.02,0,0,0.92,0,0,0,0,0,22.17,0,0,0.56,0,0
 60-70,0,0,0,0,0.61,0,26.96,0,0,0,7.9,0,0,0,0,2.01,0,0,0,14.85,0,0.95,0.67,85.78,0,0,0,0,11,0,0,0,0,0,12.87,0,0,0,0,0
 72-82,0,0,0.98,0,0.78,0,31.44,0,0,0,11.25,0.64,0,0.9,1.16,2.25,0,0,0,12.24,0,0,1.27,63.46,0,0,0.55,0,3.96,0,0,0,0,0,9.58,0,0,3.86,0,0
 84-94,0,0,0,0,0.73,9.02,17.22,0,0,0.84,4.62,1.34,0,0,8.32,0,0,0,0,20.05,0,0.93,1.33,52.06,0,3.57,1.56,0,8.09,0,0,0,0,0,0,0,0.69,1.86,0,0
 96-106,0,0,1.38,0,0.66,1.4,34.08,0,0,1.45,6.53,0,0,0,7.08,0,0,0,0,17.4,0.76,0,3.34,30.27,0.62,0,0,0,4.17,0,0,0,0,0,0.64,3.17,0,0,0,0
108-118,0,0,0,0,4.12,0,18.61,0.89,0.9,1.54,3.73,1.59,0,0,4.51,0.92,0,1.12,0,18.4,0,0,0,38.03,0.85,1.19,7.82,0,5.16,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.37,0,0,2.01,14.2,0,0,0,10.8,1.38,0,0,26.76,0,0,0,0,40.16,0,0,2.96,61.39,1.29,0,0,0,0,0,1.12,0,0,0,0,0,0,3.16,3.36,0
