stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,35.05,451.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.63,397.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.77,0,0,0,7.69,0,5.11,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,23.01,0,0,0,25.06,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36,0,0,0,0,0,0,0,0.86,1.13,0,0,0,0
 24-34,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,3.45,0,0.63,31.93,0,0,0,0,0,0,0,0,1.19,0,0,0,0
 36-46,0,0,0,1.1,0,0,6.46,0,0,0,0,0,0,0,0,0,10.09,0,2.51,26.45,0.65,0,0,0,0,0,0,0,7.6,0,0,0,0
 48-58,0,0,0,0,0,0,7.38,0,0.55,0,0.63,0,0,0,0,0,5.49,0,0,77.02,0,0,0,0,0,0,0,0,12.75,0,0,0,0
 60-70,0,0,0,4.32,0,0,179.55,2.44,0,0,4.47,0,0,0,0,0,23.12,0,0,191.45,0,0,0,0,0,0,0,0,27.58,0,0,0,0
 72-82,0,0,1.09,5.58,0,0,610.98,0,0,3.21,10.96,0,0,0,0,0,14.64,1.44,0,333.77,0,0,0,0,2.61,0,0,0,35.31,0,0,0,0
 84-94,0,0,0,1.71,0,0,518.17,0,0.91,0.64,7.22,0.98,2.15,0,0,0.99,7.15,0,0,275.77,0.69,0,0.92,0,4.69,0,1.62,7.29,21.8,0,0,1.04,2.93
 96-106,0,0,0,3.05,0,0,897.84,0,0,0,21.47,2.9,2.07,4.98,2.22,0,26.16,0,3.54,277.81,0,1.92,2.03,0,5.27,0,0,0,15.87,0,0,0,2.61
108-118,0,0,0,6.23,0.74,3.63,746.51,0,0,0.48,7.28,2.14,1.82,0,0,0,30.41,8.27,0.63,306.79,0,0,0,0,0,0,0,0,16.83,0.58,1.16,0,0
120,0,0,0,5.41,1.98,0,479.09,2.03,0,0,55.53,0,0,0,0,0,45.71,0,2.74,810.98,0,0,0,0,0,0,0,0,47.2,0,0,1.78,0
