stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.66,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,14.14,0,3.02,0,0,0,2.64,0,1.08,11.65,0,0,0,0,0
 24-34,0,1.31,0.73,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,5.86,0,0,0,295.18,1.56,25.02,0.61,0,0,0,0,0.66,42.04,0,0,0,0,0
 36-46,0,0,2.38,0,12.59,0,0,0,2.78,0,0,0,0,0,0,0,0,2.84,0,0,0,1028.56,0,52.38,0,0,0,0,0,0,150.5,0,0,0,0,0
 48-58,0,0,5.65,0.72,118.69,0,0,0.48,12.67,0,0,0.95,0,0,0,0,0.54,6.79,0,0,0.88,1801.72,1.64,31.16,0,0,4.61,0,0,0,188.32,0,0,0.52,0,6.92
 60-70,0,0,4.24,1.52,281.72,0,4.01,1.9,15.96,0,9.59,0,0,0,0,0,0,96.38,0,0,0,2638.88,1.48,43.95,0,0,4.94,0,0,0,309.59,0,0,0,0,0
 72-82,0,0,8.68,0.5,329.92,0,0,0,22.69,0,0,0,5.4,0,0,0,0,208.8,0,1.19,0.79,2621.02,0.53,51.69,1.14,0,1.62,0,3.73,0,242.41,1.01,0,6.96,0.79,3.36
 84-94,0,0,8.44,0,257.72,0,0,0,37.02,0,0,0,0,0,1.7,0,10.35,229.3,2.35,0.86,2.98,1724.91,9.75,35.4,3.61,0,0,0,0,0,222.8,0,0.68,8.76,0,0
 96-106,0,0,5.92,3.67,298.74,0.9,0,4.2,45.94,0,0,0,0,0.65,0,0,0,149.72,0,0.59,0,1566.48,2.22,41.06,1.26,0,5.99,0,0,0,60.44,1.86,0,0.93,0.96,11.36
108-118,0,0,15.16,0,427.83,0,0,0.56,30.34,0.71,0,0,0,0,0,0.45,0.54,183.71,0,1.38,0.92,2129.7,2.44,40.53,2.92,0,2.49,0,0,0,64.06,1.81,0,0,1.13,0
120,0,3.99,19.61,1.33,413.16,2.29,2.28,0,70.72,0,0,0,3.35,0,0,0,0,216.05,0,0,0,3158.57,1.33,41.56,0,0,1.39,0,2.43,0,113.89,2.06,0,4.21,0,13.4
