stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.81,13.19,1.21,0,2.86,0,0,0,0,0,0,0.87,0,0,0,79.45,0,0,93.9,11.42,2.7,1,0,3.35,0,0,33.81,0,12.32,0,0,0,0,0,0
 24-34,0,2.46,0,0,6.24,2.25,7.79,2.91,0,1.02,0,1.65,0,0.79,0,535.28,0,0,575.59,84.2,0,0,0.69,0,0,0,0,0,4.29,13.82,0,0,0.85,0,0
 36-46,0,0,0,0,4.96,14.25,42.76,2.24,0,0,0,0.94,0,0,0,1057.17,0,0,459.11,74.05,0,0,0,0,0,0.59,0,1.47,0,4.01,0,0,1.74,0,0
 48-58,0,1.78,0.64,0,8.25,18.62,67.24,1.3,0,0,0,2.21,0,0,2.47,785.43,0,0,274.88,85.05,0,0,0,0,0.73,1.03,0,0,0,10.27,0,0,0,0,0.56
 60-70,0,6.76,0,0,17.84,1.4,79.09,0.83,0,0,0,0.78,0,0,0,801.8,1.27,0,176.06,55.4,0,0,0,0,0,0,0,0,0,5.56,0,3.09,0,0.98,0
 72-82,0,2.07,0,0,49.88,0.8,94.99,3.15,0.54,3.21,0,0,0.72,0,0,729.75,0,0,257.58,42.05,0.91,0,0,0,0,0,0,0,0,0,0,0.58,0,1.14,0.55
 84-94,0,6.82,0,0,28.05,6.72,79.65,2.9,2.65,0,0,0,0,0,2.12,791.65,0,0,214.69,46.65,0,0,0,0,1.59,1.66,0,0,0,2.31,1.01,1.47,0,4.27,0
 96-106,0,11.03,0.78,0,20.67,0,40.42,11.77,0.56,0.76,0,0,0,0,0,763.02,3.9,0,162.31,53.63,4.18,0.57,0,0,1.94,1.84,0,0,0,1.51,0,1.58,0.69,0,0
108-118,0,6.14,0.87,1.94,13.8,0.62,64.47,0,3.36,0.43,0,0,0,0,2.29,836.45,0,3.63,150.09,57.84,0,0,0.68,0,0,0.44,0,0,0,0,0,0.81,3.28,0,0
120,0,15.22,9.13,0,17.56,0,20.09,0,4.34,0,3.41,0,0,0,1.61,800.36,0,3.62,124,49.69,0,0,0,0,3.68,0,0,0,0,8.98,0,0,14.35,0,0
