stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.69,5.29,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,84.17,0,0,0,8.81,0,0,0,14.39,0,0,0,0,0,0
 14-21,0,0,0,1.03,275.94,24.78,0,0,0,1.16,0,3.07,1.95,0,0,0,0,0,3.61,0,0,3.98,34.16,0,0,0,0.86,0,0,0.95,0,6.58,0,0,102.33,0,0
 24-34,0,0,0,0,6.4,21.28,0,1.71,0,0,0,5.08,14.21,4.14,0,0,0,0,8.42,1.11,0,2.36,71.3,0,0,0,0,0,0.83,0,0,0.6,0,0,154.6,0,0
 36-46,0,0,0,8.15,2.39,51.29,0,1.26,3.28,0,0,1.5,29.57,0,0,0,0,0,8.75,0,0,1.2,55.07,0,0,0,0,0,3.93,0,0,2.07,0,0,129.98,0,0
 48-58,0,0,0,1.89,0,134.22,0,1.97,3.59,0,0,7.94,24.79,0,0,0,0,1.57,13.65,0,1.11,1.29,37.28,0,0,0,0,0.56,6.77,0,0,3.96,0,0.42,148.23,0,0
 60-70,0,0,0,1.2,0,299.2,0,1.57,6.09,0,0,7,67.84,0.75,0,0,0,0,16.35,0,7.62,0.83,38.32,0,0,0,0,2.46,2.4,0,0,1.4,0,1.3,131.41,0,7.73
 72-82,0,0,0.9,0,0,157.4,2.52,0.89,11.28,1.1,0,8.53,73.48,0,0,0,0,0,40.81,0,11.07,2.51,80.1,0.74,0,0,0,0,2.27,0,0,3.39,1.51,2.74,246.98,2.8,0
 84-94,0,0,0,0.73,0,139.67,0,1.26,10.41,0,0,6.89,111.69,0.96,0.76,0,0,0,21.72,0,12.88,2.34,40.22,0,0,1.76,0,3.18,9.48,0,0,1.92,0,3.2,249.62,0.82,0
 96-106,0,0,0,0,5.55,71.31,0,1.42,15.24,0,0,17.46,203.4,6.49,10.79,0.62,0,0,44.36,2.79,10.48,1.67,41.11,0,0,0,0,6.53,20.66,0,0.61,2.6,4.26,2.41,373.59,11.18,0
108-118,0.56,0,0,1.08,0,76.41,1.05,0,15.51,1.44,0,12.23,192.31,2.89,0,0,1.81,0,47.12,0,5.6,4.03,86.47,0.62,0.83,1.09,0,5.13,17.04,0,1.29,2.33,2.71,4.86,345.32,9.12,0
120,0,0,0,0,0,40.34,0,0,7.5,0,0,13.7,181.12,0,4.88,5.16,3.84,0,15.05,1.56,2.75,10.78,68.62,0,0,0,0,22.45,5.69,0,0,0,3.15,2.24,281.32,1.05,13.04
