stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,4.45,0,2.22,0,0,0,0,0,0,4.39,0,0.84,35,0,0,0,0,3.2,0.9,3.91,27.13,0
 24-34,3.91,0.66,9.31,0.72,0,0,0,0,0,7.14,0,1.55,70.96,0,0,0,1.37,0,0,1.62,15.1,1.33
 36-46,0.65,1.1,2.5,0,6.56,0,0,0,0,21.6,0.89,0.75,64.97,0,0.78,0,0,0,0,0,10.73,0
 48-58,0,0,26.44,0,1.54,0,0,5.25,0,3.19,1.23,0.4,101.87,0,0,0,0,0,0,0,9.76,0
 60-70,0.76,0,30.3,0,8.61,0,0,0,0,7.35,0,0,48.82,5.48,0,0,6.21,0,0,0,0,6.22
 72-82,1.93,0,8.09,0,2.15,0,0.68,0,0,10.04,0,0.71,11.93,0,0.75,0.66,0,0,0,0,0,0
 84-94,1.79,0,11.85,0,5.05,0,0,0,0,4.86,0,0,13.47,0,0,0.58,0,0,1.27,0,0,0
 96-106,1.16,0,2.99,0,1,0,0,0,0,2.74,0,2.8,2.06,0,0,4.75,0,0,0,0,0,0.76
108-118,1.9,0,8.06,0,5.96,0.85,0,0,0,10.6,0,0.87,22.4,0,0,0.91,0.61,0,0,0,0,7.81
120,1.11,0,14.77,0,16.39,0,0,0,1.89,5.67,0,3.67,24.99,0,3.73,0,2.23,0,0,0,0,0
