stage,blastomeres,eye,fin.mesenchyme,glial,heart,immune,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
  5-6,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,9.35,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.43,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,10.57
 24-34,0,0,0,0,0,4.77,0,3.17,0,2.87,0,0,0,0,0,0,23.69
 36-46,0,0.66,0,0,0,4.78,2.11,0,0.66,0,0,0,0,0,1.18,0,57.03
 48-58,0,0.38,0,0,0,26.18,0,2.23,0,1.99,0,0,0,0.96,0,0,38.46
 60-70,0,1.85,0,1.28,0,37.9,0,0.69,0,0,0,0,0,0,0,0,146.38
 72-82,0,4.2,0.87,0,0,28,0,1.39,0,0,0,0,0,0,0,0,52.98
 84-94,0,11.86,0,0,0,45.6,0,9.24,0,7.09,0,0,0,0,0,0.92,80.63
 96-106,0,0.89,0,0,2.94,30.12,0,0,0,2.35,1.1,0.93,2.88,0,0,0.64,121.06
108-118,0,3.82,0,0,0,31.44,0,0,0,1.63,0,0,1.53,0,0,0,63.33
120,0,0,0,0,0,78.74,0,0,0,7.87,0,0,0,0,0,0,73.08
