stage,epidermis,mesenchyme,neural,notochord,otic,somites
 24-34,0,0,0,0.61,0,1.12
 36-46,0,0,0.64,0,0,0
 72-82,0,1,0,0,0,0
 96-106,0,0,0,0,1.55,0
108-118,2.09,0,0,0,0,0
