stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0,7,3.65,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.16,18,4.57,11.54,0.96,0,0,0,0,8.35,0,5.51,0,0,0,2.09,0,0,1.59,91.8,0,2.66,0,0,0,2.36,45.67,0,0,3.5,0,0
 24-34,0,2.76,10.46,4.88,0.83,2.05,0,0,0.68,0,13.06,0,7.26,1.29,0,0,1.33,0,0,2.42,393.05,0,19.51,2.49,0,0,0,225.02,0,0,18.67,0,0
 36-46,0,0,0.96,2.7,0,0.83,0.94,0,2.77,1.09,2.8,0,4.24,0,0,0,5.73,0,0,0,532.14,0,13.15,1.7,0,1.69,0,218.09,0,0,8.57,0,0
 48-58,0,0.97,0,0.44,0,23.82,0,0,0.97,3.24,2.77,0,2.97,4.72,0,0,12.04,0,0,0.49,647,4.84,3.09,8.94,0,0,0,142.32,0,0,6.63,0,9.88
 60-70,0,0.6,0,4.79,0,103.84,0,0,0.93,1.88,2.31,0,1.66,0,4.62,0,12.21,0,0,0,787.92,0,14.42,26.92,0,0,1.06,138.54,0.81,1.29,3.34,0.77,0
 72-82,0,9.99,0,6.86,0.56,127.8,0,0,4.69,15.7,6.9,0,8.33,0,1.65,4.19,9.89,0,0,0,1080.16,0,1.27,49.09,0,1.97,0,137.4,4.24,0,12.32,0,0
 84-94,0,19.47,0,5.64,2.95,96.31,0,4.74,3.8,19.49,5.55,0,5.7,0.92,7.8,0,16.64,0,0,0,697.36,0,4.65,75.11,0,2.98,0,78.67,3.13,0,15.38,1.13,0
 96-106,0,7.96,0,3.33,4.2,90.61,0,0,2.3,26.48,6.68,0,13.46,1.53,1.54,0,14.68,0,6.67,2.46,648.31,0,8.98,107.35,1.32,3.74,0,18.51,14.53,0,6.43,3.8,0
108-118,0,11.72,0,5.11,0.49,154.18,0.98,0,2.55,35.22,6.38,0,2.45,0,0.89,0,19.3,0,1.29,0,1056.59,0,3.63,59.21,0,2.47,0,38.36,18.7,0,11.1,0.72,0
120,0,0,0,1.91,0,148.14,0,0,2.45,48.71,26.05,0,4.12,0,1.06,0,6.4,3.84,0,1.66,1683.6,0,3.16,105.64,3.68,1.88,0,126.08,10.72,0,51.08,9.78,0
