stage,blastomeres,eye,glial,gut,mesenchyme,muscle,neural,somites,spinal.cord,xanthophores
  3-4,27.74,0,0,0,0,0,0,0,0,0
  5-6,29.38,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.97,0,0,0
 10-12,0,0,0,0,0,0,5.19,0,0,0
 14-21,0,0,0,0,0,0,5.98,0.85,0,0
 24-34,0,0,0,0,0.73,0,2.23,1.65,0,0
 36-46,0,0,0,0,0,0,0.77,0,0.83,0
 48-58,0,0.47,0,0,0,0,1.81,0,0.99,0
 60-70,0,0.59,0.58,1.57,0,0,0,0,0,0
 72-82,0,2.27,0,0,1.14,0,5.09,0,0,0.82
 84-94,0,8.91,0,0,0,0,2.98,0,0,0
 96-106,0,6.69,1.59,0,0,0,1.86,0,0,0
108-118,0,0,0,0,0,0.55,0.45,0,0,0
