stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,560.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0
  5-6,20.85,243.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.32,0,0,0,20.82,0,0,0,3.3,0,0,0,0,0,0,0,0,63.01,0,0,0,23.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.48,0,0,0,0,0,0,0,0,0,15.35,0,0,0,0,0,0,0,0,81.73,0,0,0,34.38,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,1.01,21.33,3.06,0,0,0,0,2.89,0,0,4.47,12.57,0,0,0,0
 24-34,0,0,0.81,0,0,0.62,0,5.95,0,4.38,0,0,1.49,2.13,0,0,2.95,0,0,0.95,72.51,0,4.21,2.33,0,9.83,0,0,0.67,4.46,15.11,0,0,0,0
 36-46,0,0,0,0,0.56,0,0,22.72,0.64,3.73,0,0,0,0,0,0,0,1.21,0,2.11,162.08,1,4.27,0,0,4.51,0,0,5.55,0,27.95,0,0,0.75,0
 48-58,0,0,0,0,0.65,0,0,37.63,0.7,10.8,0,0,0,0,0,0,1.94,1.24,1.6,0.86,111.97,0,1.1,0,0,1.13,0,0.73,4.08,0,19.57,0,0,1.41,0
 60-70,0,0,0,0,0,0,0,65.85,2.62,12.38,2.58,0,0,0,0,0,5.75,0,0,1.33,143.34,2,1.15,0.62,0,0.83,0,0,0,0,18.46,0,0.64,0,0
 72-82,0,0,0,0,1.29,1.95,0,51.31,1.66,2.31,0,0,0,0.7,0.65,0,7.56,0,0,0.71,113.79,0,2.87,3.04,0,5.81,0,0,0,0,7.15,0.56,0,0,1.15
 84-94,0,0,0,0,4.35,0,0,54.62,0.67,6.28,0,0,1,1.14,0,0,4.94,0,0,0.63,77.19,0,0,0,0,4.75,0,0,1.64,0,8.99,0,0,0,0
 96-106,0,0,0,0,6.84,6.94,1.05,48.71,0,23.7,0,0,0.7,0,0.64,6.81,3.96,1.13,3.47,0.61,85.05,0,4.29,2.54,0,9.3,0,0,0,0,0,0,0,1.04,0
108-118,0,0,0,0,5.99,6.38,4.86,40.91,1.23,7.15,0.47,0,0.43,0,0.63,0,4.23,0,0,2.21,95.52,0,1.21,0,0,10.61,0,1.02,0.5,0,10.36,0,0,2.62,1.13
120,0,0,0,0,0,1.96,0,23.7,1.75,0,1.19,0,0,5.09,0,0,6.4,0,3.62,5.57,58,0,19,0,0,4.73,0,0,1.52,0,0,0,0,0,0
