stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,9.79,316.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.49,312.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0
  7-9,7.69,10.77,0,639.87,0,0,0,84.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.24,0,0,0,71.23,0,0,4.3,0,0,0,0,0,0,0,0,0
 10-12,0,67.43,0,850.11,0,0,0,465.18,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,1659.29,0,0,0,36.81,0,0,0,0,38.9,0,0,0,0,0,0,0
 14-21,0,0,0,3.78,142.86,31.71,0,156.26,0,1.28,0,37.29,8,0,0,0,0,0,11.04,4.75,0,45.81,0,0,16.01,953.51,9.51,0,0.9,0,0,0,0,2.61,131.49,0,2.24,151.3,0,0,0,0
 24-34,0,0,0,24.95,69.83,2.4,0,19.54,0,31.01,0,47.48,6.41,0,0.68,0,1.96,0,86.33,2.11,0,49.96,0.93,0,85.82,611.42,8.09,1.4,10.76,0,0,3.28,0,1.69,62.13,0,5.97,241.6,0,0,5.14,0
 36-46,0,0,0,3.41,48.01,0,0,28.57,0.72,16.78,0,50.63,12.19,0,0,0,0.62,2.57,64.39,9.85,0,110.31,2.72,0,142.21,404.08,0,3.62,27.68,0,0,2.81,0,0,21.73,0,0,282.21,0,0,0,0
 48-58,0,0,0,1.37,37.45,0,0,35.17,0,25.7,2.41,37.77,14.67,0.75,0,0,1.39,8.24,53.47,10.64,0,94.05,0,4.89,157.96,295.97,0,2.69,11.98,0,0,1.18,0,0,4.05,0,0,241.7,0,0,1.23,0
 60-70,0,0,0,3.47,44.04,0,0,27.49,0.81,33.25,7.74,29.67,24.18,0,13.88,0,6.39,26.02,16.9,26.67,0,136.27,0,0.62,112.04,200.88,0,2.12,3.34,0,0,0,0,0,15.36,0,0,181.97,0,4.47,6.82,0
 72-82,0,0,3.15,2.76,29.51,0,6.08,45.24,0.74,26.8,0.7,26.85,36.77,0,0,0,7.64,23.3,70.56,2.81,0,150.45,0,8.48,159.86,183.5,0,6.7,12.01,0,0,1.41,0,0,10.24,0,0,115.31,0,0,1.52,7.87
 84-94,0,0,3.76,6.06,33.82,3.58,26.3,87.56,0,30.25,0,17.5,44.44,0,2.32,0,10.91,8.69,56.28,22.38,0,143.25,0,3.33,161.34,186.07,0,6.68,7.89,0,0,14.66,0,0,14.17,0,0,60.16,1.71,1.08,12.61,2.44
 96-106,0,0,6.89,2.22,54.61,4.35,20.29,48.68,1.64,29.63,0,32.42,70.7,0,4.07,2.69,24.18,14.91,47.86,10.27,7.05,127.65,0,0,107.04,133.84,0,4.59,27.17,0,0.81,4.53,0,0,7.98,0,0,28.81,3.52,5.54,4.98,2.56
108-118,0,0,3.42,15.08,77.69,0,60.36,54.5,1.2,48.1,3.58,34.04,66.31,0,0,0,33.65,16.88,36.15,19.26,0,210.01,0.53,1.83,148.95,180.3,0,7.29,28.88,0,0,0,0,0,11,0.55,0,18.69,1.84,0,9.1,5.27
120,0,0,3.73,1.28,90.78,2.35,32.96,67.69,0,47.83,0,15.37,65.98,0,0,0,20.9,44.99,51.99,20.08,0,186.23,1.56,1.45,103.37,262.77,0,6.43,29.97,0,0,0,0,0,4.45,0,0,46.38,1.06,2.2,15.04,25.92
