stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,28.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.54,9.11,0,0,148.05,0,0,4.75,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,1.22,37.17,0,8.23,0,0,0,0,16.39,0,12.73,3.51,0,0,0,0,0
 24-34,0,0,0,0,3.03,0,0,1.94,0,0,0,1.56,0,0,0,0,0,0,0,6.43,0,0,0,0,251.23,0,19.63,0,0,0,0,0,0,0,0,0,0,2.02,0,1.96
 36-46,0,0,0,0,0,0,0,35.14,0,0,0,1.07,0,0,0,0,0,0,0,0,4.77,0,0,0,692.27,0,0,0,0,0,0,0,0.65,0,19.94,0,0,0.9,0,90.53
 48-58,0.39,0,0,0,4.16,0,0,225.23,0,6.07,0,82.4,0,0,0,0,0.91,0,0,1.28,7.21,0,0.52,2.98,1011.65,0,1.73,0,0,0,0,0,0,0,42.45,0,0,0.55,0,186.2
 60-70,0,0,0,0,8.54,0,0,1950.08,0,6.31,0,505.61,0,0,0,0,11.68,0,0,0,15.94,0,1.04,4.29,2312.11,0,0.67,0,0,0,8.79,0,0,0,82.26,0,0,0,0,247.92
 72-82,0,0,11.57,1.12,7.16,9.09,0,3746.8,0,0.68,1.11,1043.49,4.55,0,0,2.97,11.81,0,13.72,0,70.02,0,12.18,7.56,2984.32,4.03,0.57,0,0,0,6.74,0,0,0,82.99,1.34,3.28,6.61,0,480.31
 84-94,0,0,0.86,0,22.59,9.7,0,2222.53,1.35,0.74,8.01,1012.67,0.88,0,3.18,5.37,10.9,0,0,4.05,85.51,0.86,0,0,1759.36,0.66,0,0,0,0,4.85,0,0.91,0,57.85,0,4.43,7.73,0,170.25
 96-106,0,0,1.98,0,34.95,29.28,0,2779.08,0,10.92,2.38,1982.05,3.6,2.23,1.6,5.58,4.31,1.92,0,1.38,83.59,0,9.17,4.09,1727.36,0,0,5.43,0,1.51,25.48,0,1.63,0,34.66,0,2.52,3.18,0.68,223.72
108-118,0,0,0.98,0,8.94,12.85,0,4532.65,0,3.65,0,1714.48,3.02,0,0,13.49,8.51,0,3.47,0,43.34,1.67,1.35,3.25,3264.73,0.96,7.6,0.52,0,0,5.32,0,0,0,112.82,0,0,2.04,0,284.07
120,0,0,0,0,17.61,33.22,5.97,4346.48,0,2.36,7.42,1945.62,1.14,5.85,9.6,1.65,3.78,0,13.95,0,75.37,16.75,0,13.08,6132.27,6.89,17.18,0,0,0,7.44,0,0,0,141.6,0,5.29,0,1.96,18.79
