stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,14.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.99,3.86,0,0,0,0,0
 14-21,0,1.25,0,0,0,0,0.84,0,0,0,0,0,3.1,1.44,0,2.5,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.46,0,0,3.73,0,0,0,0.89,0,0
 36-46,0,0,0,2.9,0,0,0,0,0,0,0,0,4.04,0,0,0,2.15,0,0
 48-58,0,0,0,2.6,0,0.56,0,0,0,1.14,0,0.44,1.88,0,0,0,6.39,0,0
 60-70,0,0,0,0,0,4.52,0,0,0,0.69,0.79,0,9.11,0,0,0,0,0,0
 72-82,0,0,0.88,3.26,0.8,0,0,0,0,0,0,0,1.14,0,1.05,0,0,1.36,0
 84-94,0,9.19,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0
 96-106,0,0,0,1.32,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0
108-118,0,3,0,0,0,3.99,0,0,1.01,1.13,0,0,6.98,0,0,0,0,0,0.65
120,0,0,0,0,0,0,0,2.77,0,0,0,0,5.03,0,0,0,5.98,0,0
