stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,5248.64,100773.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2405.09,0,0,0,0,0,0,0,0,0
  5-6,11719.1,199183.52,0,118.52,0,0,0,0,0,0,0,0,0,507.2,0,0,0,0,0,0,0,0,0,2113.66,194.12,0,0,410.03,0,2322.6,0,0,0,0,0,0,0,0,0
  7-9,3078.91,3167.67,0,4113.71,0,56.72,0,13338.46,0,0,0,0,0,1984.38,0,0,0,0,0,0,0,0,0,98935.53,1095.23,0,0,19143.54,0,73.34,68.31,0,35.39,0,0,0,0,0,0
 10-12,37.34,2508.85,0,747.42,0,223.76,0,5461.87,0,0,0,0,0,48.16,0,0,0,0,0,0,0,0,0,45045.15,662.98,0,0,12047.19,0,16.85,35.29,42.49,1361.95,0,165.54,135.41,0,0,0
 14-21,0,1.4,0,0.83,108.56,36.87,0,573.81,0,1.07,0,79.79,2.16,0,5.05,0,0.91,0,2.07,5.77,220.76,0,342.41,9737.15,30.7,1.19,3.02,124.18,0,7.71,0,534.16,3.73,21.12,756.03,2608.47,0,6.42,4.25
 24-34,0,0,1.29,0,14.97,0.85,0,1333.71,0,0.62,31.13,267.53,0,0.74,0,0,0.94,5.81,0,1.32,208.3,0,216.61,6454.97,13.98,2.07,1.79,1,0,11.11,0,1.04,6.01,6.58,155.09,1828.76,0,79.95,8.06
 36-46,0,0,0,0,10.31,11.76,0,2760.8,0,0,116.01,273.03,0,0,1.33,2.7,0,3.81,10.06,0.86,373.88,0,276.97,5038.51,3.8,8.25,0.71,0,0,5.35,0,5.49,0,1.91,0.99,2023.1,0,132.94,13.89
 48-58,0,0,0,0,7.05,0,0,838.18,0,1.08,138.73,97.23,0,0,0,4.03,0.93,5.2,4.18,0,354.6,1.04,83.36,1084.58,0,0.79,0,0,0,0.48,0,0,0,0.4,0,303.84,0,33.62,0.93
 60-70,0,0,1.13,0,1.62,0,0,595.28,0,4.48,137.41,72.16,0,0,0,0.6,0,0,0,8.49,205.22,1.86,15.68,677.77,0,0,0,0,0,0,0,0,0,0,0,59.09,0,23.36,6.65
 72-82,0,0,0,0,2.74,0.74,0.55,180.37,0,0,77.66,66.81,0,0,0,0,0,0,0,0,128.37,0,8.69,487.76,0.73,0,0,0,2.23,0,0,0,0,0,0,16.33,0,14.49,0
 84-94,0,0,0,0,3.46,0,0,187.87,0,2.16,72.98,23.48,0,0,0,0,0,2.89,0,0,137.74,0,10.63,341.65,0,0.76,0,0,0,9.54,5.6,0,1.39,0,0,18.4,4.1,2.7,0
 96-106,0,0,0,0,7.48,0,0,133.94,0.58,0,80.42,41.28,0,0,0,0,0,0,0,1.26,82.17,0,9.57,310.56,0,0,0,0,0,2.58,0,0,0,0,0,3.26,3.41,13.35,0
108-118,0,0,0,0,0.97,0,5.54,121.5,0,0,52.02,30.39,0.94,0,0,0,0.76,0,1.06,0,54.92,1.31,3.55,353.02,0,1.89,1.38,0,0,0,0,0,0,0,0,8.94,0,7.45,0
120,0,0,0,0,7.23,0,0,187.69,0,1.16,42.82,63.11,4.3,0,0,0,0,0,0,0,121.47,0,17.14,499.19,0,0,0,0,0,0,0,0,0,0,0,1.64,0,9.66,0
