stage,eye,glial,muscle,neural,periderm,spinal_cord
  7-9,0,0,0,30.06,0,0
 24-34,1.3,0,0.86,9.64,0,0
 36-46,0,0,0,6.68,0,1.11
 48-58,2.8,0,0,3.48,0,0
 60-70,1.55,0,0,0,0,0
 72-82,0,1.03,0,4.44,0,0
 84-94,5.55,0.58,0,0,0,0
108-118,7.1,1.09,0,2.2,2.43,0
120,0,0,0,4.34,0,0
