stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.61,0,0,0,0,0
 14-21,31.84,2.25,1.86,25.11,0,0,0,0,0,0,0.98,0,0,12.75,0,0,0,0,3.37,4.8,0,1.06,0,0,0,0,0,2.41,0,8.28,0
 24-34,40.71,0.71,4.63,0.66,0.87,0,0.84,0,0,0,0,0.81,0.6,52.7,0,0,4.01,0,2.78,66.43,0,0,42.6,0,0,0,0.78,2.22,0,34.12,0
 36-46,12.54,0,0,0,0,0,0,0.6,4.61,0,0,0,0,18.8,0,0,0,0,3.09,50.51,0,0,342.93,1.14,10.97,0,0,29.23,0,16.58,4.11
 48-58,7.12,0,8.72,0,1.46,0,1.27,0,2.49,0.54,0,0,0,15.52,0,0,0,3.34,2.77,73.55,0,0,484.37,0,0,0,0,30.4,0,8.94,0
 60-70,14.94,0,10.18,0,14.53,0,1.46,0,0,23.21,0,0.75,2.38,3.25,0,0,0,0,2.5,28.1,0,0,584.31,0,1.22,0,0,1.62,1.1,20.74,0
 72-82,148.19,0,8.57,0.8,21.36,0,0,0,6.01,75.46,0.49,0,4.19,11.44,0,0,9.19,0,0.67,80.41,0,0,298.61,0.75,0,0,0,7.94,1.36,25.89,0
 84-94,102.16,0,15.59,3.69,38.42,0,0,0,0,125,0,0,0,6.06,0,0.62,2.64,0,2.7,42.48,0,0,285.5,0,0,0,0,0,0,11.11,5.82
 96-106,82.83,0,9.63,0,14.2,0,0.62,0,15.95,153.88,0,0,0,6.68,4.64,6.87,22.62,0,0,50.62,1.34,0,115.81,0,0.81,0,0,0,0,45.75,1.61
108-118,72.9,0,17.68,0,12.69,0.61,0.53,0,10.7,134.37,0,0,0,5.55,0,0,6.77,0,4.6,51.24,0,0,153.64,0,1.81,0,0,20.21,1.53,32.22,0
120,115.82,0,3.42,0,2.09,0,0,0,49.48,86.39,0,0,0,0,0,0,3.97,0,0,32.53,0,2.49,248.07,0,0,0,0,0,3.11,45.17,0
