stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
 14-21,12.57,13.31,0,0,0,2.21,1.11,0,0,0,0,0,4.64,0,0,4.68,0,0,0,0,0,1.01,0.82,12.36,3.6,0,0,0
 24-34,1.26,1.27,0,0.96,0.84,1.08,0.61,0,0.6,5.01,0,0,1.96,0,0,0,1.25,0.94,0,0,0,0,0,2.59,1.05,0,0,0
 36-46,0,0.71,0,0,0,0,0,0.57,1.57,0,0,0,6.06,0,0.63,0,1.84,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.48,0,3.3,0,0,0,0,1.89,0,0,0,5.49,0,0,0.4,0.45,0.47,0,0,0.39,0,0,0,0,0,0,0
 60-70,0,2.43,0,0,0,0,4.35,0,3.45,0,0,0,2.8,0,7.16,0,0,0,0,2.51,3.55,0,0,0,0,0,0,0
 72-82,0,12.13,0,8.08,0,0,12.4,0,0,0.69,0,0,2.64,0,0,0.56,6.72,0,0,0,20.07,0,0,0,1.77,4.21,5.89,3.25
 84-94,0,11.12,0,0.72,1.81,0,7.01,0,6.03,1.5,0,0,4.01,0,2.87,0,1.53,0,0,0,47.71,0,0,0,0,2.1,5.96,1.2
 96-106,0,141.31,2.78,11.51,25.13,0,17.63,0,3.65,0.63,0,0,0.76,7.57,7.89,0,3.9,0,0,1.54,128.97,0,0,0,7.72,12.79,4.13,17.71
108-118,0,46.68,0,7.71,4.97,2.79,32.32,0,23.2,3.28,6.73,0.58,5.05,0,4.26,0,8.61,0,0.44,13.19,35.86,0,0,0,0,16.42,0,0
120,0,48.53,0,0,5.72,0,82.25,0,1.79,0,0,0,2.28,0,21.91,0,15.02,0,0,0,14.36,0,0,0,0,2.19,18.62,0
