stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,20.86,0,0,3.49,0,0,0,0,0,8.92,0,0,0,0,0,0,0,0,46.76,0,0,0,24.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,15.86,0,3,0,0,0,1.17,0,5.23,0,0,0,0,0,1.34,0,21.2,44.32,0.95,0,0,1.09,0,0,23.46,0,20.12,54.53,12.06,0,0,0,0
 24-34,0,0,0,8.54,3.33,7.3,0,0.62,0,0,0,0,0,0,1.21,0,0,10.67,0,2.22,289.25,0,2.8,16.6,0,0,0.84,0,0,3.17,12.09,96.01,0,4.39,0,0
 36-46,0,0,0,3.66,0,29.73,0,6.72,0,2.61,0,0,0,0,1.61,0,0,7.84,0,0.59,561.26,0.84,0,6.83,0,0,0,0,0,0,0,281.36,0,9.84,0,0
 48-58,0,0.54,0,2.76,2.14,36.17,0,1.13,0,15.8,0,0,0,0,5.1,4.93,3.19,8.42,0,0,876.82,0.45,0,13.31,7.33,0,2.8,0,0,0,0,174.24,0,0,0,1.18
 60-70,0,0.7,0,3.91,0,52.65,1.08,4.54,0,40.84,1.76,0,0,0,6.35,0,0,17.26,4.24,0,1530.29,0,0,21.35,0,0,1.34,0,0.65,0,0,170.09,0.73,0,7.88,0
 72-82,0,2.6,0,9.19,3.74,133.34,3.69,0.78,0,67.81,0,0,0,4.02,8.49,0,0,37.45,11.13,0.54,1642.29,0,1.33,40.13,0,0,0,0,0,0,0,200.1,2.93,5.42,11.89,0
 84-94,0,0.85,0,13.62,0.66,145.4,3.04,0,0.7,64.25,4.29,0,0,0,10.95,0,0,46.08,12.51,0,1194.43,0,0,64.91,0,0.6,14.86,0,0,0,0,109.79,10.91,0,25.13,0
 96-106,0,0,0,19.82,4.07,154.74,10.03,0,3.65,50.82,5.74,0,0,0,14.71,0,0,61.79,23.66,4.62,984.6,0,3.41,75.42,0,1.98,1.17,0,0,0.64,0,36.32,10.78,5.23,31.77,3.35
108-118,0,0,0,16.24,0.72,183.88,5.67,0.52,1.02,53.16,3.03,0,0.61,0,10.35,0,0,65.84,47.8,2.3,1401.19,0,0.52,92.09,0,0,1.52,0,0,0.56,0,49.54,7.41,0,19.75,0
120,0,0,0,11.35,2.42,156.65,13.95,4.77,0,27.74,2.04,0,22.79,2.62,30.17,0,0,17.2,118.74,6.9,1998.12,0,0,72.58,0,0,0,0,0,0,0,30.31,5.39,0,35.31,0
