stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,0,0,0
  5-6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,17.85,0,4.04,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.46,0,5.94,0,0,0,0,0,0,0
 14-21,0,0,0,1.04,0.92,3.11,0,0,0,0,0,0,0,0,7.98,0,0.85,1.11,2.41,0,1.84,1.82,1.41,0
 24-34,0,0,0,1.33,0,1.2,0,0,0.62,0,0,5.7,0,1.85,30.11,0.63,0,0.89,0,0,0,5.66,0,0
 36-46,0,0,0,0,0,6.53,0,0,0,0,0,6.89,0,0,38.28,0,0,0,0,0,0,2.15,0,0
 48-58,0,0,0,0,0,30.72,0.39,0,5.45,0,0,4.55,2.73,0,53.14,0,0,0,0,0,0,10.78,0,9.81
 60-70,0,0,0,0,0,15.09,0,0,0,0,0,7.33,0,0,41.68,2.28,0,3.61,0,0,0,2.54,0,0
 72-82,0,0,0,0,0,5.34,0,0,1.32,0.64,0.49,0.66,0,0,15.97,0.65,0,0,0,0,0,4.53,0,0.55
 84-94,0,3.91,0,0,0,7.7,0,0,2.96,0,0,2.42,0,0.55,25.88,0,0,0,0,0,0,0,0.69,0
 96-106,0,0,0,0,0,11.92,0,2.44,0,0,0,5.21,0,0,11.8,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.49,0,10.05,0,0,1.55,0,0,1.52,0,0,14.7,0,0,0,0,0.49,0,0,1.21,0
120,0,0,0,0,0,4.46,0,0,0,0,0,2,1.72,0,20.39,2.64,0,0,0,0,0,1.75,0,0
