stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0.8,3.38,0,0,0.85,0,0,0,0,0,0,0,0,1,0,0,0.81,6.08,0.87,0,0,0.9,0,1.01,3.98,0,1
 24-34,0,2.14,0.61,0,0,0.78,0,0.76,0,0,0,0,0,3.93,0,0,3.04,57.15,0,0,0,0,0,0,12.46,0,0.85
 36-46,0,0,7.15,0,0.58,0,0,0,0,0,3.76,0,0,6.04,0,0,0,80.92,1.31,0.85,2.19,0,0,0,7.99,0,0
 48-58,0,3.58,8.53,4.41,0.8,0,1.55,0,0,0,0,0,0,3.36,0,1.23,1.17,83.31,0,0,6.31,0,0,0,12.1,0,0
 60-70,0,0,9.64,0,0.86,0,6.09,0,0,0,0,0,0,8.12,0,0,0,155.38,0,0,15.85,0,1.72,0,8.33,1.5,0
 72-82,0,0,31.86,0.76,0,0,7.64,0,0,0,0,0,0,36.18,0,0,0.56,116.12,0.82,0,12.91,0,0,0,23.21,1.7,0
 84-94,0,0.93,34.11,0,0,0,4.33,0,0,0,0.83,0,0,4.36,0,0,0,108.19,0,0,8.3,0,0,0,12.14,0,0
 96-106,0,5.11,19.56,0,0,0,11.65,0,0,1.03,0,0.63,7.05,15.55,0,0,2.41,43.32,0,0,15.53,0,0,0,7.45,2.96,9.48
108-118,0,2.17,22.11,0,0,0,10.41,0,0,0,0,0,0,4.98,0.54,0,0.53,68.5,0,0,10.53,0,0.56,0,0,0,0
120,0,14.82,6.37,0,0,0,36.26,0,3.58,0,0,0,0,14.37,0,0,0,182.38,0,0,4.3,0,0,0,0,0,0
