stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.46,1230.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.87,0,0,0,0,0,0,0,0,0,0
  5-6,13.97,610.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.98,6.86,0,3.77,0,0,0,7.15,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,64.73,4.16,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.23,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,71.32,0,0,0,11.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,12.9,9,0,2.96,0,0,1.09,0,0.86,0,5.69,0,0,0,45.42,0,1.27,0,0,7.37,31.57,1.29,0,0.96,1.09,2.32,1.96,0,0,4.25,3.54,0,0,0,0,0
 24-34,0,0,1.33,0.82,1.48,0,0,7.7,0,0,3.95,0.61,4.87,0,19.06,0,0,0,21.79,0,9.71,0,0,11.22,76.53,0,0.62,0,0,1.18,0,63.84,0,0,12.24,0,0,1.5,0,0
 36-46,0,0,1.89,0,0,0,0,13.27,0,0,8.24,1.39,0,0,64.64,0,1.88,0,2.49,28.78,22.24,1.35,0,2.87,75.18,1.52,0,0,0,0.58,0,71.26,0,0,7.31,0,0,0,0,0.98
 48-58,0,0,0.59,0,1.95,0,0,12.27,0,0.49,7,1.56,0,0,63.64,0,4.2,0,1.83,7.37,24.94,0,1.21,5.26,58.51,0.9,0,2.17,0,2.48,0,82.87,1.46,0,12.77,0,0,5.91,0,19.36
 60-70,0,0,4.21,0,0.67,0,0,29.77,1.34,0,4.61,1.24,0,0,91.91,0,5.59,0,3.67,0,27.21,0,0,1.13,59.32,0,0,23.8,0,8.26,0,87.3,0,0,3.78,0,0,7.04,0.8,0
 72-82,0,0,0.69,0,0.8,6.31,0,57.92,2.07,0,19.26,17.47,0.59,0,101.31,3.38,11.88,0,12.18,9.98,54.81,0,0.71,0.71,68.08,0.5,0,2.22,0,3.44,0,141.83,0,0,2.38,0,0,24.02,0.78,5.89
 84-94,0,0,1.44,0,4.39,1.3,0,42.86,0,3.81,31.69,31.85,0,0,145.12,0,50.26,0,10.08,1.45,56.75,0,1.45,5.11,66.74,0,0,3.43,0,6.15,0,218.77,0,0,4.65,2.61,0,8.44,0,0
 96-106,0,0,4.79,0.72,8.78,5.88,0,38.7,0.56,0,27.52,23.23,0,0,141.76,0.99,12.02,0.83,16,0.65,45.96,0,0,0.56,50.13,0,4.52,5.93,0,4.11,0,153.04,0,0,7.29,3.26,0,27.55,2.81,0
108-118,0,0,3.51,0,3.04,7.77,4.17,115.79,0,0.49,82.3,16.33,0,0,145.65,1.73,28.05,0,25.43,2.85,84.98,0,0,0.52,69.74,1.22,3.67,8.33,0,1.98,0,120.58,0,0,5.53,2.57,0,17.16,0.56,1.68
120,0,0,14.32,0,7.86,0,0,122.45,0,0,91.6,17.94,0,2.69,215.33,8.08,27.29,2.28,0,0,118.2,0,4.3,0,90.95,0,10.3,5.18,0,8.72,0,91.58,0,0,0,0,3.52,16.34,0,0
