stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,114.49,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0
  7-9,6.38,10.1,0,0,17.98,0,0,0,0,0,8.17,0,0,0,0,135.68,15.58,0,0,69.97,0,0,0,0,0,0,0,0,0
 10-12,0,12.25,0,0,10.63,0,0,0,0,0,0,0,0,0,0,157,11.05,0,0,63.52,4.56,6.86,0,0,0,0,0,0,0
 14-21,0,0,1.33,0.96,0,0,0,0,0.9,0,0,0,0,0,0,21.25,0,0,0,1.12,0.8,0,0.86,2.42,3.43,0,0,0,0
 24-34,0,0,0,1.09,2.56,0,0,0,0,0,0,0,0,0,0,51.13,0,0,0,0,0,0,0,0,10.48,0,0,0,1
 36-46,0,0,0,0,6.21,0,0,0,0.9,0,0,0,3.15,0,0,39.14,0,0,0,0,0,0,0,0,6.85,0,1.64,0,8.91
 48-58,0,0,0,0,10.15,0.68,0,0.42,21.35,0,0,0,5.81,0,0,22.72,0,1.14,0,0,0,0,0,0,3.45,0,0,0,0
 60-70,0,0,0.77,0,2.04,0,0,0,3.38,0,0,1,5.29,6.53,0,20.88,0,0,0,0,0,0,0,0,0,0,0,0,6.5
 72-82,0,0,0,2.7,0.71,0,0,0,10.93,0,0,2.2,8.89,1.3,0.97,12.69,0,0,0,0,0,0,0,0,0,0.9,0,0,7.17
 84-94,0,0,0,7.37,14.56,0,1.87,0,6.33,0,0,0,10.52,0,0.82,7.22,0.99,0,1.37,0,0,0,0,0,1.64,0,0,0,7.25
 96-106,0,0,0.77,1.81,7.47,0,0,0,15.86,0,0,0,15.76,0,0,0,0,0,0,0,0,0,0,0,2.11,0,1.09,0,0.62
108-118,0,0,1.56,13.07,0,0,0,2.91,6.33,0.56,0,0,5.41,0,0,10.73,0,0.46,0.57,0,0,0,0,0,0,0,0,1.02,1.81
120,0,0,0,0,6.92,0,0,0,24.15,6.37,0,0,19.88,0,1.11,22.52,0,0,0,0,0,0,0,0,9.5,0,0,0,6.57
