stage,glial,neural,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,38.21,7.49,3.89,0
 10-12,0,66.02,11.85,0,0
 14-21,2.35,0,0,3.03,0
 24-34,0,0,0,1.6,0.78
