stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,3.39,0.92,0.87,0,0,0,0,0,0,0,0,0,0,0,23.45,0,1.37,0,0,0,0,41.65,0,0,0,0,0
 24-34,0.67,0,0,4.71,0,0,0,0,0,0,0,0,3,0,0.87,263.42,0,3.19,0,0,1.27,0,97.1,0,0,0,0,0.75
 36-46,0,0,0,4.92,0,0,0,0,0,0,0,9.61,0,0,0,491.53,0,0,0,0,9.95,0,110.43,0,0,0.66,0,0
 48-58,0,7.48,0,40.79,0,12.75,0,0,4.95,0,0,0.86,1.2,0,0,809.38,0,0.58,0,0,0.98,0,107.59,0,0,0.47,0,27.03
 60-70,0,1.49,0,72.7,0,15.08,0,0,0,0,0,10.14,11.23,0,0,1076.75,0,0,1.26,0,3.09,0,152.48,0,0,0.57,0,37.54
 72-82,3.17,2.66,0,143.02,0,15.95,1.73,1.67,0,0,0,0.87,6.75,2.15,1.65,1223,0,1.81,0.95,0,0,0,163.52,0.88,0,0,0,9.37
 84-94,4.51,11.91,0,141.75,0,7.73,2.17,0,0,0.75,0,0,14.6,0,0,972.4,1.44,0,1.75,0,12.01,0,88.08,0,1.03,0,0.82,9.38
 96-106,4.68,11.92,0.68,131.86,1,14.62,4.94,0,0.68,0,1,0,6.43,0,0,805.1,0,0,1.99,6.23,0,0,39.73,0,0,1.82,0,17.72
108-118,0.52,8.43,0,168.21,0.6,12.81,0,0.64,0,5.73,0,0,7.74,0,0.55,940.93,0.69,1.3,8.81,0,3.3,0,33.9,6.36,0,0,0,13.12
120,5.63,15.88,0,161.83,0,57.94,3.22,0,0,11.08,0,0,13.29,0,0,1685.95,0,0,4.71,0,0,3.15,54.16,0,0,0,0,14.33
