stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.97,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,16.25,0,0,0,0,2.24,1.74,8.43,0,0,0,0,0
 24-34,1.39,0,4.7,0,0,0,0,0,0,0,0.63,0,0,0,0,0.86,0,0,3.8,20.57,0,0,0,0,0.83,0.87,8.29,0,0,2.52,0,4.72
 36-46,0.62,0.98,4.81,0,0,0,2.21,0,0,0,0,0,0,0,1.6,3.21,0.58,0,1.32,42.05,0,1.62,0,0,0,0,18.52,0,0,0,0,3.63
 48-58,2.49,0,18.64,0.62,0,0.88,2.1,0,0,0,0,0,0,0,2.52,7.12,0,0,1.21,108.63,0,1.09,0.84,0,0.68,0,24.79,0,0,0,0,2.25
 60-70,0,0,61.94,0,0.99,0.84,9.14,0,2.9,0,0,0.87,0,0,0,33.7,0,0,0,122.16,0,2.5,3.52,0,8.97,0,23.54,0,0,1.82,0,0.97
 72-82,5.41,33.01,105.43,0,0,0.51,9.49,1.01,0,0,0,6.61,2.29,0,3.36,46.73,0,0.7,3.1,167.62,0,6.71,1.21,0,5.33,0,19.61,0.53,0,1.58,0.53,0
 84-94,4.78,14.42,127.33,0,3.54,1.83,12.96,0,0,1.52,0.68,0.65,4.35,0,7.23,13.91,2.84,0.65,0,96.53,0,5.59,9.2,0,3.81,0,5.21,0,0,0.73,0,2.42
 96-106,0,36.83,130.81,5.09,0.91,0,12.49,4.5,0,4.01,0,12.33,0,9.82,6.06,49.93,0,1.24,0.95,140.3,0.58,5,6.53,0,7.84,0,4.43,0,2.12,5.8,0,1.94
108-118,7.94,45.13,156.27,0,3.82,2.81,14.58,1.96,0,1.4,0.75,16.04,0,0.86,17.97,52.62,3.15,0,4.46,154.18,0.86,2.49,2.53,5.61,9.7,0,7.2,0,6.43,1.01,2.06,10.28
120,11.1,8.91,175.13,1.76,0,4.21,12.21,0,0,6.39,0,0,0,0,1.61,63.06,1.65,3.7,1.11,447.37,0,7.72,0,0,1.95,0,18.33,0,2.63,5.94,0,6.38
