stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.36,0.88,3.63,5.51,0,3.1,4.88,0,5.55,0,1.54,0,0,1.79,0,0,0,0,3.82,0,0,8.27,75.79,520.3,0,0,2.56,0,0,5.32,1.5,3.67,90.66,0,0,0,0,0
 24-34,0,0,1.86,5.43,0,0,21.2,58.88,1.21,35.11,0.66,0,0,0,0.81,0,0,0,0,19.86,0,0,4.41,567.77,174.22,0,0,0,0,0,0,0,1.91,311.23,0,0,15.69,0,0
 36-46,0,0,0,2.21,0,0,31.95,107.45,4.27,121.84,0,0,0,0,0,0,0.81,0,0,33.66,0.58,0,1.96,420.18,206.65,0,0,0,0,0,0,0,0,446.04,0,1.37,28.69,0,3.4
 48-58,0,0,0,1.47,1.25,0,48.23,177.66,9.62,137.11,0.76,0,1.35,0,0.92,0,0,0,0,39.74,0,0.39,6.68,166.12,44.03,0,0.38,0,0,3.24,0,0,0,231.71,0,1.96,25.54,0,0.6
 60-70,0,0,0,3.88,0.63,0,83.34,146.7,12.97,122.69,2.72,0,0.66,0,0,0,0,0,0,132.12,0,8.76,2.81,81.37,25.03,0,9.21,0,0,0,0,0,0,49.74,0,35.37,9.52,0.79,26.48
 72-82,0,0,0,9.34,0.6,0,121.18,211.59,13.69,179.3,10.03,0,34.09,0,0.63,0.93,0,0,0,536.74,0,6.88,4.38,62.21,12,0,7.77,0,4.95,5.54,0,0,0,31.7,0,83.37,120.72,24.55,14.36
 84-94,0,0,0,6.36,0,0,150.49,248.81,5.76,142.15,25.52,0,30.18,0,0,0,0,0,0,445.7,0,19.6,2.98,65.95,20.56,0,15.13,0,1.75,17.24,0,0,0,20.06,0.83,115.28,199.95,12.32,28.36
 96-106,0,0,0,9.64,12.92,0.63,143.51,195.01,4.32,173.73,28.46,0,20.51,3.52,1.46,6.16,1.11,12.41,0,658.08,0.68,20.43,19.94,78.32,24.22,0.85,12.44,0,4.99,7.38,0,1.43,0,5.58,0,173.26,333.4,14.89,27.38
108-118,0.56,0,0,19.65,0.59,0.45,149.37,308.06,12.46,150.18,17.75,0,20.26,0,0.72,1.31,0,1.74,1.97,877.08,0,32.1,17.46,105.12,62.66,1.44,14.43,0,5.75,3.92,0,1.46,0,10.88,1.2,227.99,301.75,18.61,24.6
120,0,0,0,34.53,0,0,100.06,233.43,8.23,202.16,15.3,0,45.39,2.39,0,2.22,0,0,0,1002.35,1.69,13.65,9.76,178.09,15.04,0,18.72,0,16.5,1.07,0,0,0,8.23,0,386.93,280.28,54.93,0
