stage,blastomeres,epidermis,eye,fin.mesenchyme,gut,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,xanthophores
  5-6,11.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.56,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.26,0,0,0,0,1,8.56,2.19,0
 24-34,0,0,0,0,0,0,0,7.56,3.22,0,0,0,0.62,1.72,0
 36-46,0,0,1.6,0,0,4.82,0,20.38,0,0,1.44,0,0,0,0
 48-58,0,0,1.85,0,0,0.85,2.55,17.17,0,0,0,0,0,0.98,0
 60-70,0,2.19,2.87,0,0.72,0,0,50.66,0,0,0,0,0,2.67,0
 72-82,0,0,8.1,0,0,1.79,0,44.9,0,0,1.88,0,0,0,0
 84-94,0,0,11.39,0,0,0,0,6.41,0,0,0,0,0,1.33,0
 96-106,0,1.98,4.62,0.74,0,1.04,0,9.55,0,0,0,0,0,0,0
108-118,0,0,6.06,0,0,0,0,13.04,0,0,0,0,0,0,0
120,0,0,0,0,0,8.01,0,16.39,0,0,0,0,0,0,2.34
