stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,taste,vasculature,xanthophores
  3-4,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,8.93,5.7,0,0,20.71,0,0,7.48,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35.26,3.17,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.88,0,0,0.71,0,0,0.6,1.47,0,1.5,0,0,0,4.92,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.21,0,17.93,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,4.2,0,0,0,0.42,0,0,0,0,0,0,0,0,0,10.17,0,0,0.87,0.43,0,0,0,0
 60-70,0,0,3.59,0,0,1.24,0,0.63,0,2.71,0,0,0,4.12,1.81,0,6.96,0,34.17,0.62,0,0,0,0,0,0,0
 72-82,0,0,0,0.5,0,0,5.82,0,0,0.95,0,0,0,0,2.61,0,8.69,0,18.18,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,10.15,0,0,3.48,3.23,1.2,0,0.9,4.8,0,8.16,0,13.93,0,0,1.82,0,0,0,0,0
 96-106,0,0,0.83,0,0,0.56,14.9,0,0,9.18,0,0,0,7.69,3.87,0,23.88,0,69.28,3.43,0,36.36,0,0,1.26,0.87,0
108-118,0,0,3.08,0,14.98,0,32.88,0,0,6.33,0,0.56,2.82,1.59,0,1.38,7.87,0,37.34,0,0,34.88,0,0,1.25,0.81,2.95
120,0,17.45,19.81,0,3.23,7.68,29.16,0,0,3.74,0,0,0,6.31,24.64,0,3.81,0,31.2,0,0,655.68,0,0,7.32,25.25,0
