stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,0,71.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,99.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,14.66,0,11.15,0,0,0,0,0,105.39,0,0,36.39,0,0,0,0,0,0,0
 10-12,0,5.11,7.84,0,0,0,0,0,0,0,0,0,37.64,0,0,38.15,0,0,3.57,3.24,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,2.08,5.24,1.55,0,0,0,0,2.71,1.57,41.88,1.04,1.29,0,0,0.68,0,0,9.62,0,3.27
 36-46,0,0,0,0,4.8,1.56,0,0,0,3.1,0.59,0.6,45.42,0.68,0,0,0,0,0,0,2.16,0,2.59
 48-58,0,0,0,0,14.71,6.62,0,2.32,0,0,7.94,0,5.09,6.1,0,0,0,0.92,0,0,0,0,1.42
 60-70,0,0,0,2.08,1.32,22.28,0,2.45,0,0,4.26,1.61,22.02,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.51,3.53,0,0,0,0,0,0.6,0,7.07,0,0,0,0,0,0,0,6.6,0.87,0
 84-94,0,0,0,0,0,4.6,0,0,0,0,10.66,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0
108-118,0,0,0,0,0.58,0,0,0,0.86,0,0.68,0,2.12,0,0,0,0,0,0,0,0,1.13,0
120,0,0,0,0,4.39,3.64,0,0,0,0,4.09,1.13,2.71,0,1.86,0,0,0,0,0,0,0,0
