stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,10.67,29.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,239.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,8.94,0,0,0,0,0
  7-9,0,14.23,0,8.12,0,0,29.19,0,0,0,0,0,18.47,0,0,0,0,0,0,0,0,244.06,11.69,0,0,101.76,0,0,0,0,0
 10-12,0,5.59,0,13.39,0,0,19.54,0,0,0,0,0,15.43,0,0,0,0,0,0,0,0,326.74,9.11,0,0,82.39,0,9.87,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.61,0,0,1.1,0,0,0,0,0,0,0,10.57,1.25,0,0,0,0,0.84,0.84,13.02,0
 24-34,0,0,0.67,0,0.85,0,0.68,0,0,0,6.13,0,0,0,0,0,0,0.67,3.24,0,1.67,26.97,0,0,2.82,0,0,1.25,0,14.24,0
 36-46,0,0,0,0,0.83,0,5.52,0,0,0,5.37,0,0,0,0,0,0.57,0,0.92,0,0,15.28,0,0,0,0,1.22,0,0,14.67,0
 48-58,0,0,0,0,0,0,9.28,0.6,0,1.83,7.34,0,0,0,0,0,4.15,0,2.07,0,1.08,26.43,0,0,4.69,0,0.53,0.37,0,10.24,0.84
 60-70,0,0,0,0,0,0,8.34,0,0,0,9.68,0,0,0,0,0,2.17,0,6.15,0,0,22.37,0,0,9.14,0,0,0.93,0,8.36,0
 72-82,0,0,0,0,1.71,0.58,17.97,0,2.85,0,9.33,3.58,0,0,0.5,0,7.7,0,6.02,0,0.97,40.22,0,0,32.06,0,0,0,0,8.01,0
 84-94,0,0,0.88,0,0,0,6.87,8.84,0,0,6.05,3.09,0,0,0.87,0,1.18,0,6.09,0,0.58,24.57,0,0,44.37,0,0,1.44,0,7.97,1.32
 96-106,0,0,0,0,0,0.63,33.73,0,0,2.71,5.92,6.62,0,0,0,3.17,25.9,0,8.95,4.02,2.01,38.33,0,0,80.44,0,0,1.31,0,0.98,0
108-118,0,0,0,0.74,4.54,0,13.55,0,0,0,1.22,8.09,0,0,2.21,0,7.43,0,0,2.89,3.5,30.58,0,0,65.65,0,0,0,0,0,1.28
120,0,0,0,0,3.85,0,21.31,0,0,2.48,38.8,5.34,0,0,0,1.1,4.67,0,31.52,0,7.8,75.25,0,1.61,82.21,0,0,0,0,0,0
